case_study,bag_name,global_bag_id,frame_id,frame_time_s,ground_truth,speed_mps_raw,speed_mps,speed_source_column,source_file
huron,bww1_Feb-16-2023-bww1-intloss_00000000,huron__bww1_Feb-16-2023-bww1-intloss_00000000,0,0.008449,safe,0.11767654,0.11767654,odom_speed_mps,qwen/bww1_Feb-16-2023-bww1-intloss_00000000/all15_qwen_bww1_Feb-16-2023-bww1-intloss_00000000_h2_frame.csv
huron,bww1_Feb-16-2023-bww1-intloss_00000000,huron__bww1_Feb-16-2023-bww1-intloss_00000000,1,0.097817,safe,0.1195983266666666,0.1195983266666666,odom_speed_mps,qwen/bww1_Feb-16-2023-bww1-intloss_00000000/all15_qwen_bww1_Feb-16-2023-bww1-intloss_00000000_h2_frame.csv
huron,bww1_Feb-16-2023-bww1-intloss_00000000,huron__bww1_Feb-16-2023-bww1-intloss_00000000,2,0.180903,safe,0.1281309033333333,0.1281309033333333,odom_speed_mps,qwen/bww1_Feb-16-2023-bww1-intloss_00000000/all15_qwen_bww1_Feb-16-2023-bww1-intloss_00000000_h2_frame.csv
huron,bww1_Feb-16-2023-bww1-intloss_00000000,huron__bww1_Feb-16-2023-bww1-intloss_00000000,3,0.263784,safe,0.1256891799999999,0.1256891799999999,odom_speed_mps,qwen/bww1_Feb-16-2023-bww1-intloss_00000000/all15_qwen_bww1_Feb-16-2023-bww1-intloss_00000000_h2_frame.csv
huron,bww1_Feb-16-2023-bww1-intloss_00000000,huron__bww1_Feb-16-2023-bww1-intloss_00000000,4,0.352689,safe,0.13107621,0.13107621,odom_speed_mps,qwen/bww1_Feb-16-2023-bww1-intloss_00000000/all15_qwen_bww1_Feb-16-2023-bww1-intloss_00000000_h2_frame.csv
huron,bww1_Feb-16-2023-bww1-intloss_00000000,huron__bww1_Feb-16-2023-bww1-intloss_00000000,5,0.433798,safe,0.1260595666666666,0.1260595666666666,odom_speed_mps,qwen/bww1_Feb-16-2023-bww1-intloss_00000000/all15_qwen_bww1_Feb-16-2023-bww1-intloss_00000000_h2_frame.csv
huron,bww1_Feb-16-2023-bww1-intloss_00000000,huron__bww1_Feb-16-2023-bww1-intloss_00000000,6,0.52212,safe,0.1248401866666666,0.1248401866666666,odom_speed_mps,qwen/bww1_Feb-16-2023-bww1-intloss_00000000/all15_qwen_bww1_Feb-16-2023-bww1-intloss_00000000_h2_frame.csv
huron,bww1_Feb-16-2023-bww1-intloss_00000000,huron__bww1_Feb-16-2023-bww1-intloss_00000000,7,0.60269,safe,0.1184957633333333,0.1184957633333333,odom_speed_mps,qwen/bww1_Feb-16-2023-bww1-intloss_00000000/all15_qwen_bww1_Feb-16-2023-bww1-intloss_00000000_h2_frame.csv
huron,bww1_Feb-16-2023-bww1-intloss_00000000,huron__bww1_Feb-16-2023-bww1-intloss_00000000,8,0.687524,safe,0.1169281133333333,0.1169281133333333,odom_speed_mps,qwen/bww1_Feb-16-2023-bww1-intloss_00000000/all15_qwen_bww1_Feb-16-2023-bww1-intloss_00000000_h2_frame.csv
huron,bww1_Feb-16-2023-bww1-intloss_00000000,huron__bww1_Feb-16-2023-bww1-intloss_00000000,9,0.772209,safe,0.1183550066666666,0.1183550066666666,odom_speed_mps,qwen/bww1_Feb-16-2023-bww1-intloss_00000000/all15_qwen_bww1_Feb-16-2023-bww1-intloss_00000000_h2_frame.csv
