case_study,bag_name,global_bag_id,frame_id,frame_time_s,ground_truth,speed_mps_raw,speed_mps,speed_source_column,source_file
pal,rosbag2_2025_07_11-13_23_07,pal__rosbag2_2025_07_11-13_23_07,0,0.164707,safe,0.0,0.0,odom_speed_mps,qwen/visual/h02/qwen_rosbag2_2025_07_11-13_23_07_visual_h02.csv
pal,rosbag2_2025_07_11-13_23_07,pal__rosbag2_2025_07_11-13_23_07,1,0.179341,safe,0.0,0.0,odom_speed_mps,qwen/visual/h02/qwen_rosbag2_2025_07_11-13_23_07_visual_h02.csv
pal,rosbag2_2025_07_11-13_23_07,pal__rosbag2_2025_07_11-13_23_07,2,0.195099,safe,0.0,0.0,odom_speed_mps,qwen/visual/h02/qwen_rosbag2_2025_07_11-13_23_07_visual_h02.csv
pal,rosbag2_2025_07_11-13_23_07,pal__rosbag2_2025_07_11-13_23_07,3,0.215291,safe,0.0,0.0,odom_speed_mps,qwen/visual/h02/qwen_rosbag2_2025_07_11-13_23_07_visual_h02.csv
pal,rosbag2_2025_07_11-13_23_07,pal__rosbag2_2025_07_11-13_23_07,4,0.248962,safe,0.0,0.0,odom_speed_mps,qwen/visual/h02/qwen_rosbag2_2025_07_11-13_23_07_visual_h02.csv
pal,rosbag2_2025_07_11-13_23_07,pal__rosbag2_2025_07_11-13_23_07,5,0.281932,safe,0.0,0.0,odom_speed_mps,qwen/visual/h02/qwen_rosbag2_2025_07_11-13_23_07_visual_h02.csv
pal,rosbag2_2025_07_11-13_23_07,pal__rosbag2_2025_07_11-13_23_07,6,0.31507,safe,0.0,0.0,odom_speed_mps,qwen/visual/h02/qwen_rosbag2_2025_07_11-13_23_07_visual_h02.csv
pal,rosbag2_2025_07_11-13_23_07,pal__rosbag2_2025_07_11-13_23_07,7,0.350179,safe,0.0,0.0,odom_speed_mps,qwen/visual/h02/qwen_rosbag2_2025_07_11-13_23_07_visual_h02.csv
pal,rosbag2_2025_07_11-13_23_07,pal__rosbag2_2025_07_11-13_23_07,8,0.382605,safe,0.0,0.0,odom_speed_mps,qwen/visual/h02/qwen_rosbag2_2025_07_11-13_23_07_visual_h02.csv
pal,rosbag2_2025_07_11-13_23_07,pal__rosbag2_2025_07_11-13_23_07,9,0.415679,safe,0.0,0.0,odom_speed_mps,qwen/visual/h02/qwen_rosbag2_2025_07_11-13_23_07_visual_h02.csv
pal,rosbag2_2025_07_11-13_23_07,pal__rosbag2_2025_07_11-13_23_07,10,0.448763,safe,0.0,0.0,odom_speed_mps,qwen/visual/h02/qwen_rosbag2_2025_07_11-13_23_07_visual_h02.csv
pal,rosbag2_2025_07_11-13_23_07,pal__rosbag2_2025_07_11-13_23_07,11,0.481737,safe,0.0,0.0,odom_speed_mps,qwen/visual/h02/qwen_rosbag2_2025_07_11-13_23_07_visual_h02.csv
pal,rosbag2_2025_07_11-13_23_07,pal__rosbag2_2025_07_11-13_23_07,12,0.51512,safe,0.0,0.0,odom_speed_mps,qwen/visual/h02/qwen_rosbag2_2025_07_11-13_23_07_visual_h02.csv
pal,rosbag2_2025_07_11-13_23_07,pal__rosbag2_2025_07_11-13_23_07,13,0.548565,safe,0.0,0.0,odom_speed_mps,qwen/visual/h02/qwen_rosbag2_2025_07_11-13_23_07_visual_h02.csv
pal,rosbag2_2025_07_11-13_23_07,pal__rosbag2_2025_07_11-13_23_07,14,0.584058,safe,0.0,0.0,odom_speed_mps,qwen/visual/h02/qwen_rosbag2_2025_07_11-13_23_07_visual_h02.csv
pal,rosbag2_2025_07_11-13_23_07,pal__rosbag2_2025_07_11-13_23_07,15,0.615573,safe,0.0,0.0,odom_speed_mps,qwen/visual/h02/qwen_rosbag2_2025_07_11-13_23_07_visual_h02.csv
pal,rosbag2_2025_07_11-13_23_07,pal__rosbag2_2025_07_11-13_23_07,16,0.648773,safe,0.0,0.0,odom_speed_mps,qwen/visual/h02/qwen_rosbag2_2025_07_11-13_23_07_visual_h02.csv
pal,rosbag2_2025_07_11-13_23_07,pal__rosbag2_2025_07_11-13_23_07,17,0.681878,safe,0.0,0.0,odom_speed_mps,qwen/visual/h02/qwen_rosbag2_2025_07_11-13_23_07_visual_h02.csv
pal,rosbag2_2025_07_11-13_23_07,pal__rosbag2_2025_07_11-13_23_07,18,0.715319,safe,0.0,0.0,odom_speed_mps,qwen/visual/h02/qwen_rosbag2_2025_07_11-13_23_07_visual_h02.csv
pal,rosbag2_2025_07_11-13_23_07,pal__rosbag2_2025_07_11-13_23_07,19,0.748751,safe,0.0,0.0,odom_speed_mps,qwen/visual/h02/qwen_rosbag2_2025_07_11-13_23_07_visual_h02.csv
pal,rosbag2_2025_07_11-13_23_07,pal__rosbag2_2025_07_11-13_23_07,20,0.782444,safe,0.0,0.0,odom_speed_mps,qwen/visual/h02/qwen_rosbag2_2025_07_11-13_23_07_visual_h02.csv
pal,rosbag2_2025_07_11-13_23_07,pal__rosbag2_2025_07_11-13_23_07,21,0.815206,safe,0.0,0.0,odom_speed_mps,qwen/visual/h02/qwen_rosbag2_2025_07_11-13_23_07_visual_h02.csv
pal,rosbag2_2025_07_11-13_23_07,pal__rosbag2_2025_07_11-13_23_07,22,0.849005,safe,0.0,0.0,odom_speed_mps,qwen/visual/h02/qwen_rosbag2_2025_07_11-13_23_07_visual_h02.csv
pal,rosbag2_2025_07_11-13_23_07,pal__rosbag2_2025_07_11-13_23_07,23,0.882731,safe,0.0,0.0,odom_speed_mps,qwen/visual/h02/qwen_rosbag2_2025_07_11-13_23_07_visual_h02.csv
pal,rosbag2_2025_07_11-13_23_07,pal__rosbag2_2025_07_11-13_23_07,24,0.915418,safe,0.0,0.0,odom_speed_mps,qwen/visual/h02/qwen_rosbag2_2025_07_11-13_23_07_visual_h02.csv
pal,rosbag2_2025_07_11-13_23_07,pal__rosbag2_2025_07_11-13_23_07,25,0.948993,safe,0.0,0.0,odom_speed_mps,qwen/visual/h02/qwen_rosbag2_2025_07_11-13_23_07_visual_h02.csv
pal,rosbag2_2025_07_11-13_23_07,pal__rosbag2_2025_07_11-13_23_07,26,0.982912,safe,0.0,0.0,odom_speed_mps,qwen/visual/h02/qwen_rosbag2_2025_07_11-13_23_07_visual_h02.csv
pal,rosbag2_2025_07_11-13_23_07,pal__rosbag2_2025_07_11-13_23_07,27,1.015566,safe,0.0,0.0,odom_speed_mps,qwen/visual/h02/qwen_rosbag2_2025_07_11-13_23_07_visual_h02.csv
pal,rosbag2_2025_07_11-13_23_07,pal__rosbag2_2025_07_11-13_23_07,28,1.04859,safe,0.0,0.0,odom_speed_mps,qwen/visual/h02/qwen_rosbag2_2025_07_11-13_23_07_visual_h02.csv
pal,rosbag2_2025_07_11-13_23_07,pal__rosbag2_2025_07_11-13_23_07,29,1.082446,safe,0.0,0.0,odom_speed_mps,qwen/visual/h02/qwen_rosbag2_2025_07_11-13_23_07_visual_h02.csv
