model,approach,history,bags,median_accuracy,q1_accuracy,q3_accuracy,median_macro_f1,q1_macro_f1,q3_macro_f1
internvl,appfr,H02,25,0.8340425531914893,0.46688102893890676,0.8978494623655914,0.3388305667713474,0.2515393876570404,0.4090172707853314
internvl,appfr,H04,25,0.7814407814407814,0.47333772218564846,0.8876941457586619,0.3227418745275888,0.23261977410059478,0.37726865891963907
internvl,appfr,H06,25,0.574468085106383,0.4170124481327801,0.7335329341317365,0.2757455028371363,0.22553789869774998,0.3292306994877374
internvl,appfr,H08,25,0.5588652482269504,0.4044077134986226,0.7544910179640718,0.2739420612432876,0.21836178146526075,0.32638162242665303
internvl,appfr,H10,25,0.4921985815602837,0.3859416445623342,0.6541218637992832,0.2721359352183725,0.19894343512433962,0.28545097731607355
internvl,appfr,H12,25,0.5042735042735043,0.4174802417480242,0.705373687461396,0.257853459130024,0.20481503887432498,0.30557087200995053
internvl,appfr,H14,25,0.7241379310344828,0.44476744186046513,0.8655913978494624,0.3126042411246128,0.24746450591848634,0.3861962853060776
internvl,appfr,H16,25,0.7068965517241379,0.47138263665594854,0.8699254349627175,0.31310968355936236,0.22448618791872413,0.376996336996337
internvl,appfr,H18,25,0.4922813036020583,0.37654830718414534,0.6407185628742516,0.2585837117186745,0.19894343512433962,0.2973610496830311
internvl,appfr,H20,25,0.5062761506276151,0.42534435261707987,0.705373687461396,0.26465592026953416,0.21436881908086095,0.31487090581803934
internvl,appfr,H22,25,0.4922813036020583,0.3831544178364988,0.6616766467065869,0.2679017355810213,0.19785612811571743,0.29467418400992
internvl,appfr,H24,25,0.5049645390070922,0.38810900082576383,0.6894150417827298,0.2682078661253961,0.19876256767208045,0.3055184498771089
internvl,appfr,H26,25,0.4922813036020583,0.37654830718414534,0.6589008363201911,0.24980067593788144,0.21064446500154177,0.3027235514488504
internvl,appfr,H28,25,0.5120567375886524,0.40583554376657827,0.6875746714456392,0.2734472807402975,0.21147335682043378,0.3074425317547653
internvl,appfr,H30,25,0.5205673758865248,0.4230769230769231,0.705373687461396,0.2751587301587302,0.2068480987166108,0.30952170713760113
internvl,appfr,H32,25,0.5804263565891473,0.42534435261707987,0.705373687461396,0.2757455028371363,0.21436881908086095,0.3140187059008197
internvl,appod,H02,25,0.6289248334919124,0.5020746887966805,0.7622461170848268,0.31473893605676545,0.2746709152110938,0.3378330531712303
internvl,appod,H04,25,0.696420269642027,0.4617363344051447,0.7545787545787546,0.31549096065225096,0.23834614406696786,0.3397196971728385
internvl,appod,H06,25,0.5119363395225465,0.3991228070175439,0.6202686202686203,0.27216861517257485,0.21992337164750955,0.3104398897279156
internvl,appod,H08,25,0.4922813036020583,0.39985380116959063,0.6072423398328691,0.26606272389814356,0.21391903139235988,0.30629319752637324
internvl,appod,H10,25,0.5411436541143654,0.44140882159315337,0.6323119777158774,0.2816914950485849,0.2562923796235098,0.317142294755288
internvl,appod,H12,25,0.5361702127659574,0.43494152046783624,0.6522748375116063,0.27979257390295315,0.26509406537124885,0.32694582668963873
internvl,appod,H14,25,0.7336122733612274,0.4660961158657011,0.8144078144078144,0.31586402266288954,0.24057940152581292,0.35944912012241775
internvl,appod,H16,25,0.704323570432357,0.45930232558139533,0.7655677655677655,0.3153664302600473,0.22604293480053286,0.34582219129456676
internvl,appod,H18,25,0.5588652482269504,0.4384805945499587,0.6495726495726496,0.2870497827019566,0.25257089979596636,0.3291074571998156
internvl,appod,H20,25,0.5471873547187355,0.4292297564186965,0.6773444753946146,0.2860610655074249,0.2352528608342562,0.3178787909015039
internvl,appod,H22,25,0.5617021276595745,0.4738372093023256,0.7042711234911792,0.3003328701719757,0.27921514848917944,0.34842794378008146
internvl,appod,H24,25,0.5843971631205673,0.4633608815426997,0.7005571030640668,0.29418026418026416,0.27068249923881865,0.3446530804586192
internvl,appod,H26,25,0.5234726688102894,0.4573002754820937,0.5692951015531661,0.2733484627317454,0.2518130076101554,0.3072147097771856
internvl,appod,H28,25,0.5163987138263666,0.45013774104683196,0.5780118499012509,0.2681978664556959,0.24528250254410497,0.2959865561069515
internvl,appod,H30,25,0.5863509749303621,0.504142502071251,0.6312576312576312,0.30146940525694527,0.2760976058242675,0.31981436031067884
internvl,appod,H32,25,0.5617021276595745,0.491701244813278,0.6166056166056166,0.2824465157970579,0.251451126202836,0.3058389101122581
llava,appfr,H02,25,0.5892526250772081,0.47811725846407926,0.7773549000951475,0.3148300453788703,0.2835670375496025,0.3398765012463177
llava,appfr,H04,25,0.7326007326007326,0.5223123732251521,0.8201712654614652,0.33008723295023074,0.29832696390658175,0.3674582205111811
llava,appfr,H06,25,0.7634730538922155,0.5499587118084228,0.8487598306110102,0.33464061827504255,0.30672865158624824,0.35853084113987577
llava,appfr,H08,25,0.7771804062126643,0.573905862923204,0.847953216374269,0.32585034013605435,0.3153887634990161,0.35418416528935576
llava,appfr,H10,25,0.7599469496021221,0.5664739884393064,0.8433151845130067,0.3310458645173671,0.31648403440556144,0.35061159070941733
llava,appfr,H12,25,0.7320954907161804,0.5317919075144508,0.8216374269005848,0.32563923005099477,0.31236538554083265,0.3517988225691422
llava,appfr,H14,25,0.726790450928382,0.5227085053674649,0.8198581560283688,0.3340818483250672,0.31030483764082173,0.35504437083384444
llava,appfr,H16,25,0.7610513739545998,0.5415821501014199,0.837870538415003,0.33161226977934927,0.3186676924724456,0.35555211611549636
llava,appfr,H18,25,0.7628434886499402,0.5516102394715111,0.8382978723404255,0.33393538029299613,0.31591143151390316,0.3593239896431386
llava,appfr,H20,25,0.7614107883817427,0.5433526011560693,0.8415003024803388,0.3345365455080643,0.31561540278762107,0.35852909366212415
llava,appfr,H22,25,0.781437125748503,0.5466556564822461,0.8449328449328449,0.3344573631582695,0.31470146414841915,0.356663047723957
llava,appfr,H24,25,0.7874251497005988,0.5442922374429223,0.8453900709219858,0.3305450336700337,0.3133525748139146,0.35683500569496657
llava,appfr,H26,25,0.7664670658682635,0.5409356725146199,0.8574979287489644,0.3278771110150612,0.311276332094176,0.3587581063085923
llava,appfr,H28,25,0.781437125748503,0.5358187134502924,0.868421052631579,0.33074032091968325,0.3117161716171617,0.357688492063492
llava,appfr,H30,25,0.7754491017964071,0.5410468319559228,0.8801169590643275,0.33289997585995285,0.3132035165557473,0.3580794351412806
llava,appfr,H32,25,0.7874251497005988,0.5382920110192837,0.8809855880985588,0.32653232469276056,0.3109372871019675,0.3569025298574548
llava,appod,H02,25,0.5915119363395226,0.47149122807017546,0.7783063748810657,0.32039702196951203,0.29435471206031405,0.355495251017639
llava,appod,H04,25,0.6984126984126984,0.4847870182555781,0.8192197906755471,0.32715471051100703,0.30618145215131626,0.3497284840633991
llava,appod,H06,25,0.7395209580838323,0.49793559042113955,0.8363551836355184,0.3275572293050742,0.30362869198312237,0.347262833008447
llava,appod,H08,25,0.7509157509157509,0.533625730994152,0.8421052631578947,0.33055555555555555,0.3071780730341773,0.3532921601230672
llava,appod,H10,25,0.7175066312997348,0.4962840627580512,0.822141560798548,0.33043522695749933,0.3083136123136124,0.33982574888503403
llava,appod,H12,25,0.7002652519893899,0.486815415821501,0.8124621899576527,0.32432418601675944,0.3075381918357125,0.3415762349062866
llava,appod,H14,25,0.6989389920424404,0.5041800643086817,0.8124621899576527,0.32386658581891553,0.305227074715998,0.3475318887469629
llava,appod,H16,25,0.7281167108753316,0.5196141479099678,0.822141560798548,0.324726291430413,0.31048186785891707,0.3541672978685761
llava,appod,H18,25,0.7042440318302388,0.48617363344051445,0.8160919540229885,0.32672475270013207,0.30656318822357936,0.3448402948402949
llava,appod,H20,25,0.6962864721485411,0.5182555780933062,0.8052026618269812,0.32779390176940576,0.3002802491042062,0.34477475473842883
llava,appod,H22,25,0.6830238726790451,0.47845659163987136,0.7991530550514216,0.3215875845627463,0.3065461242256822,0.342397673188004
llava,appod,H24,25,0.6962864721485411,0.4849315068493151,0.7967332123411979,0.3166077738515901,0.3002624843791781,0.3391540589882484
llava,appod,H26,25,0.6947496947496947,0.5021929824561403,0.8070921985815603,0.3150697202900464,0.2932484053560287,0.3406119502009913
llava,appod,H28,25,0.7142857142857143,0.5058479532163743,0.8127659574468085,0.31705323757657283,0.2842794460441519,0.340168019960845
llava,appod,H30,25,0.7175066312997348,0.5087719298245614,0.8085106382978723,0.3175945501526897,0.2855873982634546,0.34698944124225556
