model,approach,history,history_frames,case_study,frames,accuracy,macro_precision,macro_recall,macro_f1,balanced_accuracy
qwen,appfr,H02,2,crowdbot,8801,0.5127826383365527,0.3464058707847888,0.3484898929845422,0.31780810532378795,0.3484898929845422
qwen,appfr,H02,2,huron,16862,0.9010793500177915,0.45101287341932345,0.4187574564154766,0.43037329822665976,0.4187574564154766
qwen,appfr,H02,2,pal,9249,0.586117418099254,0.31826005692196596,0.33604972430531804,0.27498865792295635,0.33604972430531804
qwen,appfr,H04,4,crowdbot,8801,0.4918759231905465,0.326694518116554,0.3359466243889549,0.3267691616511695,0.3359466243889549
qwen,appfr,H04,4,huron,16862,0.9041632072114815,0.44832339953548384,0.37455763577332163,0.3862457161146367,0.37455763577332163
qwen,appfr,H04,4,pal,9249,0.5899016109849714,0.3076273263008294,0.3331263654329268,0.2599958377756597,0.3331263654329268
qwen,appfr,H06,6,crowdbot,8801,0.5086921940688558,0.3384092522018594,0.34683313515655967,0.3322083121111637,0.34683313515655967
qwen,appfr,H06,6,huron,16862,0.9051120863480014,0.45177703800423213,0.3705054066624429,0.38112387173638296,0.3705054066624429
qwen,appfr,H06,6,pal,9249,0.5960644393988539,0.3601216851820849,0.3371693623979357,0.2639732167905035,0.3371693623979357
qwen,appfr,H08,8,crowdbot,8801,0.506306101579366,0.33677836789672355,0.3462253930506011,0.3392108195949439,0.3462253930506011
qwen,appfr,H08,8,huron,16862,0.9042818171035464,0.44492827179295064,0.3715202853304498,0.3820531024753393,0.3715202853304498
qwen,appfr,H08,8,pal,9249,0.5893610120012974,0.3247071057866296,0.3357029816249068,0.26934521924374694,0.3357029816249068
qwen,appfr,H10,10,crowdbot,8801,0.5248267242358823,0.3513263221513885,0.3580050204782666,0.344734136269506,0.3580050204782666
qwen,appfr,H10,10,huron,16862,0.9026805835606689,0.43660598123593014,0.3700507242940616,0.3796851032306094,0.3700507242940616
qwen,appfr,H10,10,pal,9249,0.592064006919667,0.3427840463158324,0.3393122120922048,0.27685904901065667,0.3393122120922048
qwen,appfr,H12,12,crowdbot,8801,0.518691057834337,0.3474809828717573,0.35429779363191966,0.345522673241776,0.35429779363191966
qwen,appfr,H12,12,huron,16862,0.9036294626971889,0.4467272830925122,0.3774422111665416,0.3897098503995595,0.3774422111665416
qwen,appfr,H12,12,pal,9249,0.5866580170829279,0.3261464522467736,0.3371314026480983,0.27741341936326197,0.3371314026480983
qwen,appfr,H14,14,crowdbot,8801,0.5192591750937393,0.35792221256205686,0.353954287224204,0.3412348745041595,0.353954287224204
qwen,appfr,H14,14,huron,16862,0.903985292373384,0.44265451482237655,0.3665695881481785,0.37534285702606834,0.3665695881481785
qwen,appfr,H14,14,pal,9249,0.5907665693588496,0.3273799653113016,0.33564868172988077,0.26709853443376974,0.33564868172988077
qwen,appfr,H16,16,crowdbot,8801,0.5163049653448472,0.3566773050759741,0.3520121548421192,0.3405956622736948,0.3520121548421192
qwen,appfr,H16,16,huron,16862,0.9034515478590914,0.43719692179126995,0.36791366331286945,0.37684361187742876,0.36791366331286945
qwen,appfr,H16,16,pal,9249,0.5918477673261974,0.33710954746366156,0.33733226208301376,0.27095786977584146,0.33733226208301376
qwen,appfr,H18,18,crowdbot,8801,0.5327803658675151,0.3651861959222364,0.3644920068701281,0.3619833872052123,0.3644920068701281
qwen,appfr,H18,18,huron,16862,0.9048155616178389,0.4458284620207052,0.3684156384760114,0.37793127874340676,0.3684156384760114
qwen,appfr,H18,18,pal,9249,0.5936858038706887,0.34144149086209,0.33727970746384234,0.26810465423330493,0.33727970746384234
qwen,appfr,H20,20,crowdbot,8801,0.5324394955118736,0.3647971123700417,0.36442330558858504,0.36258815729583044,0.36442330558858504
qwen,appfr,H20,20,huron,16862,0.9047562566718065,0.44375976365943187,0.36795367054648137,0.3771704803653642,0.36795367054648137
