Model,Qwen,Qwen,InternVL,InternVL,LLaVA,LLaVA,Qwen,Qwen,InternVL,InternVL,LLaVA,LLaVA
Approach,AppFr,AppOd,AppFr,AppOd,AppFr,AppOd,AppFr,AppOd,AppFr,AppOd,AppFr,AppOd
Metric,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Macro-F1,Macro-F1,Macro-F1,Macro-F1,Macro-F1,Macro-F1
History,,,,,,,,,,,,
H02,71.98,68.64,66.11,59.35,61.13,60.18,43.31,40.68,41.72,38.0,38.81,36.02
H04,71.7,65.71,65.72,58.84,65.23,63.92,40.92,41.61,41.05,38.15,38.42,36.69
H06,72.33,70.29,54.29,50.29,65.92,64.64,42.04,43.66,35.91,33.79,37.15,36.82
H08,72.05,68.95,54.58,50.13,66.01,64.83,41.02,42.76,35.96,33.73,35.63,35.79
H10,72.51,70.49,50.15,52.91,65.84,64.06,42.38,43.54,34.02,34.88,35.85,37.03
H12,72.26,70.49,51.04,52.69,64.74,63.46,41.86,43.6,34.19,34.66,36.58,36.26
H14,72.4,71.02,63.59,61.01,64.9,63.41,42.38,43.41,40.12,39.17,36.67,36.72
H16,72.33,70.49,63.49,59.45,65.98,64.53,42.3,43.05,40.06,38.47,36.05,35.09
H18,72.86,71.26,48.86,53.25,66.27,63.88,41.7,43.27,32.94,34.97,36.17,36.34
H20,72.87,69.93,51.98,53.53,66.03,63.99,41.57,42.74,34.68,35.35,36.45,34.76
H22,73.07,70.62,50.33,55.29,65.95,63.55,41.66,43.27,33.92,36.05,35.86,36.63
H24,73.03,71.05,50.11,54.71,66.26,63.43,41.67,43.23,33.5,35.84,35.37,34.96
H26,73.24,71.69,50.68,52.68,66.28,63.58,41.59,44.16,33.91,35.01,34.94,34.38
H28,73.37,71.52,53.02,52.05,66.54,64.11,41.76,44.24,35.09,34.77,35.02,33.58
H30,73.19,72.22,53.1,56.87,66.77,64.31,40.74,43.91,35.35,37.72,35.21,33.92
H32,73.19,72.78,54.16,55.45,66.85,63.98,40.88,44.87,35.77,37.03,34.99,34.49
