model,approach,history,history_frames,frames,accuracy,macro_precision,macro_recall,macro_f1,balanced_accuracy
qwen,appfr,H02,2,34912,0.7197525206232814,0.4271014979628427,0.43978331970720747,0.4331153409029523,0.43978331970720747
qwen,appfr,H04,4,34912,0.716974106324473,0.4177062834260569,0.4109643883298288,0.40924768505992937,0.4109643883298288
qwen,appfr,H06,6,34912,0.7233043079743354,0.4262946992970423,0.4219386866835338,0.4203695980517663,0.4219386866835338
qwen,appfr,H08,8,34912,0.720525893675527,0.42134198921659954,0.41142685924958067,0.4102154950826116,0.41142685924958067
qwen,appfr,H10,10,34912,0.7251374885426215,0.42838541336506425,0.42556282152529756,0.4237818530174426,0.42556282152529756
qwen,appfr,H12,12,34912,0.7226168652612283,0.42521744957190966,0.4199614153163882,0.4185733777793115,0.4199614153163882
qwen,appfr,H14,14,34912,0.7240203941338221,0.42858869799257393,0.4249391620520489,0.4237692400395241,0.4249391620520489
qwen,appfr,H16,16,34912,0.7233043079743354,0.4278277533272868,0.424087894077175,0.42297163511977615,0.424087894077175
qwen,appfr,H18,18,34912,0.7286033455545371,0.4316227154080939,0.4164303760650663,0.41701905371378317,0.4164303760650663
qwen,appfr,H20,20,34912,0.7287465627864345,0.4314701174245837,0.4150987738909906,0.4157280504481342,0.4150987738909906
qwen,appfr,H22,22,34912,0.7306943171402384,0.4328395441420199,0.41626452629737454,0.4165506386308142,0.41626452629737454
qwen,appfr,H24,24,34912,0.7302933088909258,0.43269452923482504,0.4163108763441145,0.41672567784820386,0.4163108763441145
qwen,appfr,H26,26,34912,0.7323556370302475,0.4346949345156706,0.41563970387472576,0.4158989853286,0.41563970387472576
qwen,appfr,H28,28,34912,0.7337018790100825,0.4363978898435849,0.41719865716351495,0.41763800047680694,0.41719865716351495
qwen,appfr,H30,30,34912,0.731897341888176,0.4342897464072566,0.4075804347125574,0.40743624416329044,0.4075804347125574
qwen,appfr,H32,32,34912,0.7319259853345554,0.434334128174128,0.40883668529877965,0.4088139253813492,0.40883668529877965
qwen,appod,H02,2,34912,0.6863829055912007,0.39810502706514334,0.4158319295231445,0.4067638454324587,0.4158319295231445
qwen,appod,H04,4,34912,0.6571379468377635,0.40870358448876803,0.4479971245989763,0.4161329454113132,0.4479971245989763
qwen,appod,H06,6,34912,0.7029388175985335,0.4233408896157476,0.45577794035841784,0.4366011976016875,0.45577794035841784
qwen,appod,H08,8,34912,0.6894763978001833,0.41558753860061887,0.44850040233027055,0.42762157748145796,0.44850040233027055
qwen,appod,H10,10,34912,0.7049152153987168,0.4311253448983037,0.45033109198056587,0.43543813351997085,0.45033109198056587
qwen,appod,H12,12,34912,0.7048865719523373,0.4298145896568096,0.45169014195769014,0.43603163177473814,0.45169014195769014
qwen,appod,H14,14,34912,0.7102428964252979,0.42734125180120547,0.44603871865856276,0.4341294386581449,0.44603871865856276
qwen,appod,H16,16,34912,0.7049438588450962,0.4255127501661177,0.4402227924235402,0.4304883417646678,0.4402227924235402
qwen,appod,H18,18,34912,0.7126489459211732,0.4311050253277982,0.4390340502515098,0.43265022216562593,0.4390340502515098
qwen,appod,H20,20,34912,0.6993297433547204,0.4253319431610388,0.43169402193153544,0.4273769651903345,0.43169402193153544
qwen,appod,H22,22,34912,0.7061755270394133,0.43016822418635553,0.44241606875864575,0.43265256072244523,0.44241606875864575
qwen,appod,H24,24,34912,0.7105293308890925,0.43142680668281014,0.4415917682111059,0.4323355523992711,0.4415917682111059
qwen,appod,H26,26,34912,0.716916819431714,0.44071222136300303,0.4517038088337393,0.4416074932841141,0.4517038088337393
qwen,appod,H28,28,34912,0.7152268560953254,0.4496280601090952,0.44990745044395325,0.442409957630048,0.44990745044395325
qwen,appod,H30,30,34912,0.7222158570119157,0.44613644738489094,0.44324946357626804,0.43911163870035524,0.44324946357626804
qwen,appod,H32,32,34912,0.7278299725022914,0.4552821711577592,0.4531338612991671,0.4486969333301379,0.4531338612991671
internvl,appfr,H02,2,34912,0.6610620989917507,0.4069033358721283,0.44570692724668276,0.4172003759392382,0.44570692724668276
internvl,appfr,H04,4,34912,0.657166590284143,0.39946295142193583,0.43418302936472664,0.41054597781794366,0.43418302936472664
internvl,appfr,H06,6,34912,0.5428792392300642,0.3859113030897087,0.4170708425897671,0.35905760230688083,0.4170708425897671
internvl,appfr,H08,8,34912,0.5457722273143905,0.38337154267386103,0.41297997111101853,0.35956120899126304,0.41297997111101853
internvl,appfr,H10,10,34912,0.5014894592117324,0.4122560260211387,0.4336902668304376,0.34018672712367887,0.4336902668304376
internvl,appfr,H12,12,34912,0.5104262144821264,0.3853959960952862,0.4109469990189603,0.34193535011655835,0.4109469990189603
internvl,appfr,H14,14,34912,0.635884509624198,0.39542041007538836,0.4313956452482399,0.4012243621181848,0.4313956452482399
internvl,appfr,H16,16,34912,0.6349392758936755,0.3946098615713119,0.43061895199218697,0.40061162499422837,0.43061895199218697
internvl,appfr,H18,18,34912,0.48862855178735104,0.3840964109926031,0.40504533528314596,0.32939895405662506,0.40504533528314596
internvl,appfr,H20,20,34912,0.5197639780018332,0.3850713693280264,0.41182455655577993,0.34680868638740064,0.41182455655577993
internvl,appfr,H22,22,34912,0.5032939963336389,0.39328572282316016,0.4167411786081921,0.3391829195486018,0.4167411786081921
internvl,appfr,H24,24,34912,0.5010884509624198,0.3766329011053416,0.3998671798785911,0.33499438645443963,0.3998671798785911
internvl,appfr,H26,26,34912,0.5068171402383135,0.4906528227620328,0.40376571355920693,0.33909359794529853,0.40376571355920693
internvl,appfr,H28,28,34912,0.5302474793767186,0.38048286059350417,0.4082379782310814,0.35094805746748153,0.4082379782310814
internvl,appfr,H30,30,34912,0.5309635655362053,0.38962715527029496,0.4173235588707492,0.35353880579200775,0.4173235588707492
internvl,appfr,H32,32,34912,0.5416189275893676,0.3853785917909265,0.41420540432285335,0.35774307794234966,0.41420540432285335
internvl,appod,H02,2,34912,0.5935208524289642,0.3807183729240851,0.4164887856302821,0.38000760104793785,0.4164887856302821
internvl,appod,H04,4,34912,0.5883650320806599,0.38777213516332537,0.425688942681498,0.3814993392383743,0.425688942681498
internvl,appod,H06,6,34912,0.5028643446379468,0.38220825851311685,0.40988637190227867,0.33785569164945817,0.40988637190227867
internvl,appod,H08,8,34912,0.5012603116406966,0.39160228565189503,0.4085843355449621,0.3372838882137505,0.4085843355449621
internvl,appod,H10,10,34912,0.5290730980751605,0.37246664241590444,0.4023052585671563,0.3488395506568895,0.4023052585671563
internvl,appod,H12,12,34912,0.5269248395967002,0.36961366596518425,0.39736920066404063,0.3465505452466056,0.39736920066404063
internvl,appod,H14,14,34912,0.6101054078826764,0.3914045935346561,0.42876737646506435,0.39169362504936056,0.42876737646506435
internvl,appod,H16,16,34912,0.5944660861594867,0.39072206191502445,0.4247891769563617,0.3847445122424456,0.4247891769563617
internvl,appod,H18,18,34912,0.5324816681943172,0.3719854623294026,0.39977502280871785,0.3497336920578707,0.39977502280871785
internvl,appod,H20,20,34912,0.535288725939505,0.3877248377037192,0.40718142307143435,0.3534934356395923,0.40718142307143435
