model,approach,history,history_frames,class_label,support,precision,recall,f1,class_accuracy
qwen,appfr,H02,2,safe,24996,0.7904108562003299,0.8435349655944951,0.8161093048459513,0.7278299725022914
qwen,appfr,H02,2,potentially_unsafe,8497,0.49089363768819816,0.4758149935271272,0.4832367178629056,0.7523201191567369
qwen,appfr,H02,2,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
qwen,appfr,H04,4,safe,24996,0.7657128967289395,0.8821811489838374,0.8198312079414061,0.7223877176901925
qwen,appfr,H04,4,potentially_unsafe,8497,0.4874059535492313,0.35071201600564905,0.40791184723838203,0.7522055453712191
qwen,appfr,H04,4,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
qwen,appfr,H06,6,safe,24996,0.7731193015805964,0.8786205792926868,0.8225006085800423,0.7284887717690193
qwen,appfr,H06,6,potentially_unsafe,8497,0.5057647963105304,0.38719548075791455,0.43860818557525666,0.7587648945921174
qwen,appfr,H06,6,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
qwen,appfr,H08,8,safe,24996,0.7655550196375663,0.8889822371579452,0.8226648402502685,0.7255957836846929
qwen,appfr,H08,8,potentially_unsafe,8497,0.4984709480122324,0.3452983405907967,0.4079816449975665,0.7561010540788268
qwen,appfr,H08,8,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
qwen,appfr,H10,10,safe,24996,0.7764710049948634,0.8769003040486478,0.8236355096289338,0.7311239688359303
qwen,appfr,H10,10,potentially_unsafe,8497,0.5086852351003295,0.3997881605272449,0.4477100494233938,0.7599392758936755
qwen,appfr,H10,10,unsafe,1419,0.0,0.0,0.0,0.9592117323556371
qwen,appfr,H12,12,safe,24996,0.7730035484664302,0.8802208353336534,0.8231354870087356,0.7291762144821264
qwen,appfr,H12,12,potentially_unsafe,8497,0.5026488002492988,0.37966341061551134,0.43258464632919874,0.7575905132905592
qwen,appfr,H12,12,unsafe,1419,0.0,0.0,0.0,0.9584670027497708
qwen,appfr,H14,14,safe,24996,0.7801782531194296,0.875500080012802,0.8250952003921125,0.7342461044912924
qwen,appfr,H14,14,potentially_unsafe,8497,0.5055878408582923,0.3993174061433447,0.44621251972645976,0.7587648945921174
qwen,appfr,H14,14,unsafe,1419,0.0,0.0,0.0,0.9550297891842346
qwen,appfr,H16,16,safe,24996,0.7805008561643836,0.8753000480076812,0.8251866938221317,0.7344752520623281
qwen,appfr,H16,16,potentially_unsafe,8497,0.5029824038174769,0.39696363422384373,0.44372821153719666,0.757762373968836
qwen,appfr,H16,16,unsafe,1419,0.0,0.0,0.0,0.9543709899175069
qwen,appfr,H18,18,safe,24996,0.77463088174417,0.8983437349975996,0.8319131594546533,0.7400893675527039
qwen,appfr,H18,18,potentially_unsafe,8497,0.5202372644801116,0.35094739319759916,0.4191440016866962,0.7632619156736938
qwen,appfr,H18,18,unsafe,1419,0.0,0.0,0.0,0.9538554078826764
qwen,appfr,H20,20,safe,24996,0.7739695417511774,0.9007041126580253,0.8325413700656374,0.7405763061411549
qwen,appfr,H20,20,potentially_unsafe,8497,0.5204408105225737,0.34459220901494647,0.41464278127876514,0.7632046287809349
qwen,appfr,H20,20,unsafe,1419,0.0,0.0,0.0,0.9537121906507791
qwen,appfr,H22,22,safe,24996,0.7714285714285715,0.9030244839174267,0.8320554408728988,0.7390009165902841
qwen,appfr,H22,22,potentially_unsafe,8497,0.5270900609974883,0.34576909497469693,0.4175964750195437,0.7652669569202566
qwen,appfr,H22,22,unsafe,1419,0.0,0.0,0.0,0.9571207607699358
qwen,appfr,H24,24,safe,24996,0.7724905789653991,0.902104336693871,0.8322814010999151,0.7396883593033914
qwen,appfr,H24,24,potentially_unsafe,8497,0.5255930087390761,0.3468282923384724,0.41789563244469646,0.7648373052245646
qwen,appfr,H24,24,unsafe,1419,0.0,0.0,0.0,0.9560609532538955
qwen,appfr,H26,26,safe,24996,0.7683240753285463,0.9075052008321332,0.8321349963316214,0.7378551787351054
qwen,appfr,H26,26,potentially_unsafe,8497,0.5357607282184655,0.33941391079204425,0.4155619596541787,0.7676443629697525
qwen,appfr,H26,26,unsafe,1419,0.0,0.0,0.0,0.9592117323556371
qwen,appfr,H28,28,safe,24996,0.7694524495677233,0.907945271243399,0.832981593290635,0.7393159945004583
qwen,appfr,H28,28,potentially_unsafe,8497,0.5397412199630314,0.34365070024714606,0.4199324081397857,0.7689333180568286
qwen,appfr,H28,28,unsafe,1419,0.0,0.0,0.0,0.9591544454628781
qwen,appfr,H30,30,safe,24996,0.7623456790123457,0.9189870379260682,0.8333696125380933,0.7368813015582035
qwen,appfr,H30,30,potentially_unsafe,8497,0.540523560209424,0.3037542662116041,0.38893911995177816,0.7677016498625114
qwen,appfr,H30,30,unsafe,1419,0.0,0.0,0.0,0.9592117323556371
qwen,appfr,H32,32,safe,24996,0.7631666555696118,0.9171067370779324,0.8330850019987643,0.7368813015582035
qwen,appfr,H32,32,potentially_unsafe,8497,0.5398357289527721,0.3094033188184065,0.39335677414528314,0.767730293308891
qwen,appfr,H32,32,unsafe,1419,0.0,0.0,0.0,0.9592403758020165
qwen,appod,H02,2,safe,24996,0.7814791940091098,0.8099295887341975,0.7954500805469332,0.7017644362969753
qwen,appod,H02,2,potentially_unsafe,8497,0.41283588718632025,0.437566199835236,0.4248414557504428,0.7116464252978918
qwen,appod,H02,2,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
qwen,appod,H04,4,safe,24996,0.8331026583305493,0.6983517362778044,0.7597989074843848,0.6838622823098075
qwen,appod,H04,4,potentially_unsafe,8497,0.3930080951357547,0.6456396375191243,0.48859992874955466,0.6710586617781852
qwen,appod,H04,4,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
qwen,appod,H06,6,safe,24996,0.8185124796187132,0.7832453192510802,0.800490647040785,0.7204686067827681
qwen,appod,H06,6,potentially_unsafe,8497,0.4515101892285298,0.5840885018241733,0.5093129457642773,0.7260827222731439
qwen,appod,H06,6,unsafe,1419,0.0,0.0,0.0,0.9593263061411549
qwen,appod,H08,8,safe,24996,0.8237748999698834,0.7660025604096655,0.793839009929725,0.7151409257561869
qwen,appod,H08,8,potentially_unsafe,8497,0.4229877158319732,0.5794986465811462,0.4890257225146489,0.7052589367552704
qwen,appod,H08,8,unsafe,1419,0.0,0.0,0.0,0.9585529330889092
qwen,appod,H10,10,safe,24996,0.8123724802089284,0.7964474315890543,0.8043311381358329,0.7225595783684693
qwen,appod,H10,10,potentially_unsafe,8497,0.4550295285119566,0.5531364010827351,0.49930946563263573,0.7300068744271311
qwen,appod,H10,10,unsafe,1419,0.025974025974025976,0.0014094432699083862,0.0026737967914438505,0.9572639780018332
qwen,appod,H12,12,safe,24996,0.8172724653192278,0.7942870859337494,0.8056158574935585,0.7255671402383135
qwen,appod,H12,12,potentially_unsafe,8497,0.4517631403858949,0.5593738966694127,0.49984225470606797,0.7275435380384968
qwen,appod,H12,12,unsafe,1419,0.02040816326530612,0.0014094432699083862,0.0026367831245880024,0.9566624656278644
qwen,appod,H14,14,safe,24996,0.8079091558802509,0.8140502480396864,0.8109680762026223,0.7282882676443629
qwen,appod,H14,14,potentially_unsafe,8497,0.4607812661900321,0.5233611863010474,0.4900815516861362,0.7349335472043996
qwen,appod,H14,14,unsafe,1419,0.013333333333333334,0.0007047216349541931,0.0013386880856760374,0.9572639780018332
qwen,appod,H16,16,safe,24996,0.8061507936507937,0.812730036805889,0.8094270459797595,0.7259967919340055
qwen,appod,H16,16,potentially_unsafe,8497,0.452122616664911,0.5051194539249146,0.477153974430239,0.7305797433547204
qwen,appod,H16,16,unsafe,1419,0.0182648401826484,0.0028188865398167725,0.004884004884004883,0.9533111824014665
qwen,appod,H18,18,safe,24996,0.7989847325308618,0.8311729876780285,0.8147610737465439,0.7294053620531622
qwen,appod,H18,18,potentially_unsafe,8497,0.47190881878885566,0.48240555490173004,0.4770994587673864,0.7426386342804766
qwen,appod,H18,18,unsafe,1419,0.02242152466367713,0.0035236081747709656,0.0060901339829476245,0.9532538955087076
qwen,appod,H20,20,safe,24996,0.7998668389926762,0.8170507281164986,0.808367472144709,0.7226455087076077
qwen,appod,H20,20,potentially_unsafe,8497,0.4514811031664964,0.468165234788749,0.4596718280563901,0.7321264894592118
qwen,appod,H20,20,unsafe,1419,0.02464788732394366,0.009866102889358703,0.014091595369904378,0.9438874885426215
qwen,appod,H22,22,safe,24996,0.8036972527907529,0.812249959993599,0.8079509729794262,0.7235334555453712
qwen,appod,H22,22,potentially_unsafe,8497,0.4588744588744589,0.5114746381075673,0.4837488869100623,0.7343033913840513
qwen,appod,H22,22,unsafe,1419,0.027932960893854747,0.0035236081747709656,0.006257822277847309,0.9545142071494043
qwen,appod,H24,24,safe,24996,0.801763489524404,0.8221315410465675,0.8118197799593102,0.7271138863428047
qwen,appod,H24,24,potentially_unsafe,8497,0.4633907169317934,0.5005295986818877,0.48124469589816127,0.7373682401466545
qwen,appod,H24,24,unsafe,1419,0.02912621359223301,0.0021141649048625794,0.003942181340341656,0.956576535288726
qwen,appod,H26,26,safe,24996,0.8130918888932916,0.8209313490158425,0.8169928134891407,0.7366807974335472
qwen,appod,H26,26,potentially_unsafe,8497,0.4737506575486586,0.5299517476756502,0.5002777469170091,0.7423235563703025
qwen,appod,H26,26,unsafe,1419,0.03529411764705882,0.004228329809725159,0.007551919446192574,0.9548292850595783
qwen,appod,H28,28,safe,24996,0.8113609467455621,0.8228516562650025,0.8170659039447027,0.7361938588450962
qwen,appod,H28,28,potentially_unsafe,8497,0.46964993041430253,0.5162998705425444,0.4918712860186119,0.7403758020164987
qwen,appod,H28,28,unsafe,1419,0.06787330316742081,0.010570824524312896,0.018292682926829267,0.953884051329056
qwen,appod,H30,30,safe,24996,0.8010677369277952,0.8464154264682349,0.8231174742739316,0.739545142071494
qwen,appod,H30,30,potentially_unsafe,8497,0.4875903614457831,0.4762857479110274,0.48187176281478833,0.7507160861594867
qwen,appod,H30,30,unsafe,1419,0.04975124378109453,0.007047216349541931,0.01234567901234568,0.9541704857928506
qwen,appod,H32,32,safe,24996,0.8105824981760934,0.8445351256200992,0.827210564470307,0.7473934463794684
qwen,appod,H32,32,potentially_unsafe,8497,0.49779275092936803,0.5042956337530893,0.501023092662964,0.7555281851512374
qwen,appod,H32,32,unsafe,1419,0.05747126436781609,0.010570824524312896,0.017857142857142856,0.9527383134738772
internvl,appfr,H02,2,safe,24996,0.8150596877869605,0.710193630980957,0.759021720540448,0.6771310724106324
internvl,appfr,H02,2,potentially_unsafe,8497,0.4056503198294243,0.6269271507590914,0.4925794072772666,0.6856381759853346
internvl,appfr,H02,2,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
