Model,Qwen,Qwen,Qwen,Qwen,Qwen,Qwen,InternVL,InternVL,InternVL,InternVL,InternVL,InternVL,LLaVA,LLaVA,LLaVA,LLaVA,LLaVA,LLaVA
Approach,AppFr,AppFr,AppFr,AppOd,AppOd,AppOd,AppFr,AppFr,AppFr,AppOd,AppOd,AppOd,AppFr,AppFr,AppFr,AppOd,AppOd,AppOd
Class,S,P,U,S,P,U,S,P,U,S,P,U,S,P,U,S,P,U
History,,,,,,,,,,,,,,,,,,
H02,81.61,48.32,0.0,79.55,42.48,0.0,75.9,49.26,0.0,69.29,44.71,0.0,71.74,44.69,0.0,72.48,35.57,0.0
H04,81.98,40.79,0.0,75.98,48.86,0.0,75.67,47.5,0.0,68.33,46.12,0.0,77.0,38.25,0.0,76.03,34.05,0.0
H06,82.25,43.86,0.0,80.05,50.93,0.0,62.98,44.73,0.0,56.93,44.43,0.0,78.08,33.36,0.0,76.62,33.84,0.0
H08,82.27,40.8,0.0,79.38,48.9,0.0,63.78,44.09,0.0,56.89,44.16,0.14,78.58,28.31,0.0,77.09,30.27,0.0
H10,82.36,44.77,0.0,80.43,49.93,0.27,54.85,47.2,0.0,61.64,43.01,0.0,78.41,29.13,0.0,75.95,35.13,0.0
H12,82.31,43.26,0.0,80.56,49.98,0.26,58.41,44.17,0.0,61.77,42.2,0.0,77.05,32.69,0.0,75.57,33.22,0.0
H14,82.51,44.62,0.0,81.1,49.01,0.13,74.11,46.26,0.0,70.92,46.59,0.0,77.12,32.89,0.0,75.33,34.85,0.0
H16,82.52,44.37,0.0,80.94,47.72,0.49,73.95,46.23,0.0,69.29,46.01,0.13,78.07,30.07,0.0,76.98,28.29,0.0
H18,83.19,41.91,0.0,81.48,47.71,0.61,55.23,43.59,0.0,62.52,42.4,0.0,78.36,30.14,0.0,75.94,33.08,0.0
H20,83.25,41.46,0.0,80.84,45.97,1.41,59.9,44.15,0.0,62.49,43.42,0.14,78.05,31.3,0.0,76.6,27.69,0.0
H22,83.21,41.76,0.0,80.8,48.37,0.63,56.78,44.98,0.0,65.1,43.06,0.0,78.12,29.46,0.0,75.53,34.35,0.0
H24,83.23,41.79,0.0,81.18,48.12,0.39,57.78,42.71,0.0,64.25,43.28,0.0,78.62,27.51,0.0,76.03,28.85,0.0
H26,83.21,41.56,0.0,81.7,50.03,0.76,58.46,43.13,0.14,61.11,43.8,0.13,78.77,26.04,0.0,76.33,26.8,0.0
H28,83.3,41.99,0.0,81.71,49.19,1.83,61.78,43.5,0.0,60.24,43.79,0.26,79.03,26.03,0.0,77.06,23.68,0.0
H30,83.34,38.89,0.0,82.31,48.19,1.23,61.37,44.69,0.0,65.89,46.46,0.81,79.07,26.57,0.0,77.15,24.61,0.0
H32,83.31,39.34,0.0,82.72,50.1,1.79,63.2,44.12,0.0,63.97,46.3,0.8,79.16,25.81,0.0,76.67,26.79,0.0
