Model,Qwen,Qwen,Qwen,Qwen,Qwen,Qwen,InternVL,InternVL,InternVL,InternVL,InternVL,InternVL,LLaVA,LLaVA,LLaVA,LLaVA,LLaVA,LLaVA
Approach,AppFr,AppFr,AppFr,AppOd,AppOd,AppOd,AppFr,AppFr,AppFr,AppOd,AppOd,AppOd,AppFr,AppFr,AppFr,AppOd,AppOd,AppOd
Class,S,P,U,S,P,U,S,P,U,S,P,U,S,P,U,S,P,U
History,,,,,,,,,,,,,,,,,,
H02,79.04,49.09,0.0,78.15,41.28,0.0,81.51,40.57,0.0,79.77,34.44,0.0,81.2,34.9,0.0,75.74,30.4,0.0
H04,76.57,48.74,0.0,83.31,39.3,0.0,79.76,40.08,0.0,81.7,34.64,0.0,76.96,35.56,0.0,74.78,32.97,0.0
H06,77.31,50.58,0.0,81.85,45.15,0.0,83.85,31.93,0.0,83.89,30.77,0.0,75.32,34.36,0.0,74.58,33.81,0.0
H08,76.56,49.85,0.0,82.38,42.3,0.0,83.28,31.73,0.0,84.14,30.57,2.78,74.14,32.01,0.0,73.61,32.42,0.0
H10,77.65,50.87,0.0,81.24,45.5,2.6,91.81,31.87,0.0,80.87,30.87,0.0,74.37,32.13,0.0,74.9,33.77,0.0
H12,77.3,50.26,0.0,81.73,45.18,2.04,84.93,30.69,0.0,80.51,30.37,0.0,74.85,32.87,0.0,74.15,32.4,0.0
H14,78.02,50.56,0.0,80.79,46.08,1.33,81.56,37.07,0.0,81.35,36.07,0.0,74.8,33.24,0.0,74.6,33.13,0.0
H16,78.05,50.3,0.0,80.62,45.21,1.83,81.29,37.09,0.0,81.62,34.99,0.61,73.73,33.87,0.0,73.1,31.05,0.0
H18,77.46,52.02,0.0,79.9,47.19,2.24,85.37,29.86,0.0,81.0,30.6,0.0,73.9,34.17,0.0,74.1,32.8,0.0
H20,77.4,52.04,0.0,79.99,45.15,2.46,84.61,30.91,0.0,82.23,31.14,2.94,74.09,34.4,0.0,72.96,29.98,0.0
H22,77.14,52.71,0.0,80.37,45.89,2.79,87.13,30.86,0.0,81.46,31.58,0.0,73.66,33.43,0.0,74.5,33.0,0.0
H24,77.25,52.56,0.0,80.18,46.34,2.91,83.24,29.75,0.0,82.02,31.44,0.0,73.53,32.61,0.0,73.14,30.02,0.0
H26,76.83,53.58,0.0,81.31,47.38,3.53,83.78,30.08,33.33,82.94,31.09,1.32,73.36,31.68,0.0,72.71,29.02,0.0
H28,76.95,53.97,0.0,81.14,46.96,6.79,83.23,30.92,0.0,83.49,30.89,1.87,73.48,31.96,0.0,72.29,27.59,0.0
H30,76.23,54.05,0.0,80.11,48.76,4.98,85.46,31.43,0.0,84.79,33.64,10.17,73.38,33.04,0.0,72.5,28.43,0.0
H32,76.32,53.98,0.0,81.06,49.78,5.75,84.12,31.5,0.0,85.31,33.07,7.5,73.24,32.78,0.0,72.77,29.46,0.0
