Model,Qwen,Qwen,Qwen,Qwen,Qwen,Qwen,InternVL,InternVL,InternVL,InternVL,InternVL,InternVL,LLaVA,LLaVA,LLaVA,LLaVA,LLaVA,LLaVA
Approach,AppFr,AppFr,AppFr,AppOd,AppOd,AppOd,AppFr,AppFr,AppFr,AppOd,AppOd,AppOd,AppFr,AppFr,AppFr,AppOd,AppOd,AppOd
Class,S,P,U,S,P,U,S,P,U,S,P,U,S,P,U,S,P,U
History,,,,,,,,,,,,,,,,,,
H02,84.35,47.58,0.0,80.99,43.76,0.0,71.02,62.69,0.0,61.24,63.7,0.0,64.26,62.14,0.0,69.49,42.85,0.0
H04,88.22,35.07,0.0,69.84,64.56,0.0,71.98,58.28,0.0,58.73,68.98,0.0,77.04,41.39,0.0,77.31,35.2,0.0
H06,87.86,38.72,0.0,78.32,58.41,0.0,50.44,74.69,0.0,43.08,79.89,0.0,81.05,32.41,0.0,78.77,33.87,0.0
H08,88.9,34.53,0.0,76.6,57.95,0.0,51.68,72.21,0.0,42.97,79.53,0.07,83.57,25.37,0.0,80.9,28.39,0.0
H10,87.69,39.98,0.0,79.64,55.31,0.14,39.11,91.0,0.0,49.8,70.9,0.0,82.91,26.64,0.0,77.02,36.6,0.0
H12,88.02,37.97,0.0,79.43,55.94,0.14,44.52,78.77,0.0,50.1,69.11,0.0,79.37,32.52,0.0,77.05,34.08,0.0
H14,87.55,39.93,0.0,81.41,52.34,0.07,67.9,61.52,0.0,62.85,65.78,0.0,79.58,32.54,0.0,76.06,36.75,0.0
H16,87.53,39.7,0.0,81.27,50.51,0.28,67.82,61.36,0.0,60.19,67.18,0.07,82.96,27.04,0.0,81.3,25.99,0.0
H18,89.83,35.09,0.0,83.12,48.24,0.35,40.81,80.7,0.0,50.91,69.02,0.0,83.39,26.96,0.0,77.88,33.35,0.0
H20,90.07,34.46,0.0,81.71,46.82,0.99,46.36,77.19,0.0,50.39,71.7,0.07,82.47,28.7,0.0,80.63,25.71,0.0
H22,90.3,34.58,0.0,81.22,51.15,0.35,42.11,82.91,0.0,54.22,67.67,0.0,83.16,26.33,0.0,76.59,35.8,0.0
H24,90.21,34.68,0.0,82.21,50.05,0.21,44.25,75.71,0.0,52.81,69.41,0.0,84.47,23.78,0.0,79.15,27.77,0.0
H26,90.75,33.94,0.0,82.09,53.0,0.42,44.89,76.17,0.07,48.37,74.12,0.07,85.05,22.11,0.0,80.34,24.9,0.0
H28,90.79,34.37,0.0,82.29,51.63,1.06,49.13,73.34,0.0,47.12,75.23,0.14,85.47,21.96,0.0,82.5,20.74,0.0
H30,91.9,30.38,0.0,84.64,47.63,0.7,47.88,77.32,0.0,53.88,75.09,0.42,85.71,22.22,0.0,82.45,21.7,0.0
H32,91.71,30.94,0.0,84.45,50.43,1.06,50.61,73.65,0.0,51.18,77.2,0.42,86.13,21.28,0.0,81.01,24.56,0.0
