model,history,history_frames,metric,n_pairs,wilcoxon_statistic,raw_p,median_difference_appfr_minus_appod,rank_biserial_appfr_minus_appod,holm_p,significant,significant_better_approach
qwen,H02,2,accuracy,25,62.0,0.005578815937042236,0.05835543766578244,0.6184615384615385,0.07810342311859131,False,No difference
qwen,H02,2,macro_f1,25,157.0,0.8948604464530945,0.011733545362846154,-0.033846153846153845,1.0,False,No difference
qwen,H04,4,accuracy,25,52.0,0.002025127410888672,0.05531914893617018,0.68,0.03240203857421875,True,AppFr
qwen,H04,4,macro_f1,25,138.0,0.5249125957489014,-0.0017897175787119912,-0.15076923076923077,1.0,False,No difference
qwen,H06,6,accuracy,25,57.0,0.003419220447540283,0.01831501831501825,0.6492307692307693,0.05128830671310425,False,No difference
qwen,H06,6,macro_f1,25,100.0,0.09573346376419067,-0.007277868231857276,-0.38461538461538464,0.7225289344787598,False,No difference
qwen,H08,8,accuracy,25,64.0,0.0067255496978759766,0.027131782945736482,0.6061538461538462,0.08070659637451172,False,No difference
qwen,H08,8,macro_f1,25,105.0,0.12664812803268433,-0.01602911219040759,-0.35384615384615387,0.7225289344787598,False,No difference
qwen,H10,10,accuracy,25,83.0,0.03180783987045288,0.020958083832335328,0.48923076923076925,0.19084703922271729,False,No difference
qwen,H10,10,macro_f1,25,72.0,0.013554692268371582,-0.040527045465925615,-0.556923076923077,0.18976569175720215,False,No difference
qwen,H12,12,accuracy,25,75.0,0.017312347888946533,0.014206300185299559,0.5384615384615384,0.1558111310005188,False,No difference
qwen,H12,12,macro_f1,25,99.0,0.09031611680984497,-0.016293522305284247,-0.39076923076923076,0.7225289344787598,False,No difference
qwen,H14,14,accuracy,25,69.0,0.020652054892417553,0.009689922480620172,0.54,0.1621994972229004,False,No difference
qwen,H14,14,macro_f1,25,76.0,0.018744707107543945,-0.016602168430693398,-0.5323076923076923,0.2436811923980713,False,No difference
qwen,H16,16,accuracy,25,67.0,0.008822321891784668,0.011417697431018059,0.5876923076923077,0.08822321891784668,False,No difference
qwen,H16,16,macro_f1,25,71.0,0.012466490268707275,-0.012289093949119756,-0.563076923076923,0.18699735403060913,False,No difference
qwen,H18,18,accuracy,25,56.0,0.00723749486912432,0.010373443983402564,0.6266666666666667,0.08070659637451172,False,No difference
qwen,H18,18,macro_f1,25,91.0,0.09185084396186832,-0.015396746919943305,-0.3933333333333333,0.7225289344787598,False,No difference
qwen,H20,20,accuracy,25,63.0,0.006129205226898193,0.015602836879432647,0.6123076923076923,0.07967966794967651,False,No difference
qwen,H20,20,macro_f1,25,86.0,0.03933870792388916,-0.030512816912019514,-0.4707692307692308,0.43272578716278076,False,No difference
qwen,H22,22,accuracy,25,77.0,0.02027493715286255,0.0119760479041916,0.5261538461538462,0.1621994972229004,False,No difference
qwen,H22,22,macro_f1,25,109.0,0.15633821487426758,-0.017445607436304578,-0.3292307692307692,0.7225289344787598,False,No difference
qwen,H24,24,accuracy,25,83.0,0.03180783987045288,0.013262599469495928,0.48923076923076925,0.19084703922271729,False,No difference
qwen,H24,24,macro_f1,25,102.0,0.10731470584869385,-0.01718624205787106,-0.3723076923076923,0.7225289344787598,False,No difference
qwen,H26,26,accuracy,25,96.0,0.07547956705093384,0.007532956685499026,0.40923076923076923,0.2505056858062744,False,No difference
qwen,H26,26,macro_f1,25,87.0,0.04215019941329956,-0.009202815055967761,-0.4646153846153846,0.43272578716278076,False,No difference
qwen,H28,28,accuracy,25,93.0,0.0626264214515686,0.005673758865248235,0.4276923076923077,0.2505056858062744,False,No difference
qwen,H28,28,macro_f1,25,87.0,0.04215019941329956,-0.00751843420320919,-0.4646153846153846,0.43272578716278076,False,No difference
qwen,H30,30,accuracy,25,86.0,0.11374603825319689,0.007092198581560294,0.37681159420289856,0.2505056858062744,False,No difference
qwen,H30,30,macro_f1,25,67.0,0.008822321891784668,-0.022574977644336636,-0.5876923076923077,0.1411571502685547,False,No difference
qwen,H32,32,accuracy,25,85.0,0.17787574967715358,0.0029940119760478723,0.32806324110671936,0.2505056858062744,False,No difference
qwen,H32,32,macro_f1,25,68.0,0.03325039468686109,-0.017699844262859366,-0.5072463768115942,0.3990047362423331,False,No difference
internvl,H02,2,accuracy,25,48.0,0.0012963414192199707,0.04385964912280704,0.7046153846153846,0.01814877986907959,True,AppFr
internvl,H02,2,macro_f1,25,79.0,0.023649930953979492,0.029439183314706713,0.5138461538461538,0.21284937858581543,False,No difference
internvl,H04,4,accuracy,25,23.0,3.814697265625e-05,0.029223744292237397,0.8584615384615385,0.0006103515625,True,AppFr
internvl,H04,4,macro_f1,25,90.0,0.05157625675201416,0.006121309476344039,0.4461538461538462,0.3185018472745087,False,No difference
internvl,H06,6,accuracy,25,91.0,0.09185084396186832,0.01576354679802955,0.3933333333333333,0.5511050637712099,False,No difference
internvl,H06,6,macro_f1,25,67.0,0.017719471291181378,0.012182949441879226,0.5533333333333333,0.17719471291181377,False,No difference
internvl,H08,8,accuracy,25,75.0,0.05534701671168453,0.0030425963488843744,0.45652173913043476,0.49812315040516075,False,No difference
internvl,H08,8,macro_f1,25,80.0,0.04550026389635839,0.0032059002658920976,0.4666666666666667,0.3185018472745087,False,No difference
internvl,H10,10,accuracy,25,65.0,0.007370948791503906,-0.03835616438356165,-0.6,0.07370948791503906,False,No difference
internvl,H10,10,macro_f1,25,47.0,0.0011548399925231934,-0.04008827468025605,-0.7107692307692308,0.015012919902801514,True,AppOd
internvl,H12,12,accuracy,25,106.0,0.13364005088806152,-0.014970059880239472,-0.3476923076923077,0.6682002544403076,False,No difference
internvl,H12,12,macro_f1,25,67.0,0.008822321891784668,-0.027186643758625617,-0.5876923076923077,0.10586786270141602,False,No difference
internvl,H14,14,accuracy,25,96.0,0.07547956705093384,0.008298755186721962,0.40923076923076923,0.5283569693565369,False,No difference
internvl,H14,14,macro_f1,25,112.0,0.18172985315322876,0.00680336146178534,0.31076923076923074,0.6332406401634216,False,No difference
internvl,H16,16,accuracy,25,54.0,0.002507925033569336,0.011560693641618491,0.6676923076923077,0.03009510040283203,True,AppFr
internvl,H16,16,macro_f1,25,105.0,0.12664812803268433,0.01113796419482771,0.35384615384615387,0.6332406401634216,False,No difference
internvl,H18,18,accuracy,25,59.0,0.0041751861572265625,-0.03389830508474578,-0.6369230769230769,0.04592704772949219,True,AppOd
internvl,H18,18,macro_f1,25,31.0,0.0001398921012878418,-0.034218921717332124,-0.8092307692307692,0.002098381519317627,True,AppOd
internvl,H20,20,accuracy,25,85.0,0.06329083223334525,-0.014198782961460488,-0.43333333333333335,0.506326657866762,False,No difference
