,holm_p,holm_p,holm_p,holm_p,holm_p,holm_p,rank_biserial_appfr_minus_appod,rank_biserial_appfr_minus_appod,rank_biserial_appfr_minus_appod,rank_biserial_appfr_minus_appod,rank_biserial_appfr_minus_appod,rank_biserial_appfr_minus_appod
model,qwen,qwen,internvl,internvl,llava,llava,qwen,qwen,internvl,internvl,llava,llava
metric,accuracy,macro_f1,accuracy,macro_f1,accuracy,macro_f1,accuracy,macro_f1,accuracy,macro_f1,accuracy,macro_f1
history,,,,,,,,,,,,
H02,0.07810342311859131,1.0,0.01814877986907959,0.21284937858581543,0.8531995415687561,1.0,0.6184615384615385,-0.033846153846153845,0.7046153846153846,0.5138461538461538,0.046153846153846156,-0.19384615384615383
H04,0.03240203857421875,1.0,0.0006103515625,0.3185018472745087,0.22265487909317017,1.0,0.68,-0.15076923076923077,0.8584615384615385,0.4461538461538462,0.47692307692307695,0.35384615384615387
H06,0.05128830671310425,0.7225289344787598,0.5511050637712099,0.17719471291181377,0.23500609397888184,1.0,0.6492307692307693,-0.38461538461538464,0.3933333333333333,0.5533333333333333,0.4338461538461538,0.18153846153846154
H08,0.08070659637451172,0.7225289344787598,0.49812315040516075,0.3185018472745087,0.23500609397888184,1.0,0.6061538461538462,-0.35384615384615387,0.45652173913043476,0.4666666666666667,0.40923076923076923,0.033846153846153845
H10,0.19084703922271729,0.18976569175720215,0.07370948791503906,0.015012919902801514,0.22265487909317017,1.0,0.48923076923076925,-0.556923076923077,-0.6,-0.7107692307692308,0.48923076923076925,0.1076923076923077
H12,0.1558111310005188,0.7225289344787598,0.6682002544403076,0.10586786270141602,0.23500609397888184,1.0,0.5384615384615384,-0.39076923076923076,-0.3476923076923077,-0.5876923076923077,0.43333333333333335,0.16923076923076924
H14,0.1621994972229004,0.2436811923980713,0.5283569693565369,0.6332406401634216,0.22265487909317017,1.0,0.54,-0.5323076923076923,0.40923076923076923,0.31076923076923074,0.48923076923076925,0.1753846153846154
H16,0.08822321891784668,0.18699735403060913,0.03009510040283203,0.6332406401634216,0.17526674270629883,1.0,0.5876923076923077,-0.563076923076923,0.6676923076923077,0.35384615384615387,0.52,0.27384615384615385
H18,0.08070659637451172,0.7225289344787598,0.04592704772949219,0.002098381519317627,0.05578804016113281,1.0,0.6266666666666667,-0.3933333333333333,-0.6369230769230769,-0.8092307692307692,0.6246153846153846,0.35384615384615387
H20,0.07967966794967651,0.43272578716278076,0.506326657866762,0.21284937858581543,0.05525565147399902,0.3243989944458008,0.6123076923076923,-0.4707692307692308,-0.43333333333333335,-0.5076923076923077,0.6307692307692307,0.5261538461538462
H22,0.1621994972229004,0.7225289344787598,0.02112966775894165,0.0034972429275512695,0.07261919975280762,1.0,0.5261538461538462,-0.3292307692307692,-0.6923076923076923,-0.7846153846153846,0.5938461538461538,0.31076923076923074
H24,0.19084703922271729,0.7225289344787598,0.008346140384674072,0.001018524169921875,0.014590263366699219,1.0,0.48923076923076925,-0.3723076923076923,-0.7476923076923077,-0.84,0.7230769230769231,0.38461538461538464
H26,0.2505056858062744,0.43272578716278076,1.0,0.6332406401634216,0.049151718616485596,1.0,0.40923076923076923,-0.4646153846153846,-0.13846153846153847,-0.3415384615384615,0.6430769230769231,0.3353846153846154
H28,0.2505056858062744,0.43272578716278076,1.0,0.6332406401634216,0.05578804016113281,0.3286251425743103,0.4276923076923077,-0.4646153846153846,0.13230769230769232,-0.20615384615384616,0.6246153846153846,0.52
H30,0.2505056858062744,0.1411571502685547,1.0,0.10586786270141602,0.047869086265563965,0.4784330129623413,0.37681159420289856,-0.5876923076923077,-0.23076923076923078,-0.5876923076923077,0.6492307692307693,0.48307692307692307
H32,0.2505056858062744,0.3990047362423331,1.0,0.6332406401634216,0.0463181734085083,1.0,0.32806324110671936,-0.5072463768115942,-0.021538461538461538,-0.27384615384615385,0.6553846153846153,0.29846153846153844
