approach,history,history_frames,metric,n_blocks,friedman_chi2,raw_p,kendalls_w,holm_p,significant
appfr,H02,2,accuracy,25,12.480000000000018,0.0019498555228451035,0.24960000000000038,0.0019498555228451035,True
appfr,H02,2,macro_f1,25,9.360000000000014,0.00927901388706468,0.18720000000000028,0.03711605554825872,True
appfr,H04,4,accuracy,25,17.840000000000032,0.00013368824479139806,0.3568000000000006,0.0004010647343741942,True
appfr,H04,4,macro_f1,25,1.0400000000000205,0.5945205479701883,0.02080000000000041,1.0,False
appfr,H06,6,accuracy,25,26.160000000000025,2.0865470238025953e-06,0.5232000000000006,2.5038564285631144e-05,True
appfr,H06,6,macro_f1,25,11.840000000000032,0.002685200176953778,0.23680000000000065,0.02143403022255201,True
appfr,H08,8,accuracy,25,25.04000000000002,3.652860495145885e-06,0.5008000000000004,3.287574445631297e-05,True
appfr,H08,8,macro_f1,25,10.160000000000025,0.006219909015942494,0.2032000000000005,0.03109954507971247,True
appfr,H10,10,accuracy,25,19.28000000000003,6.507305474754201e-05,0.3856000000000006,0.00028857311067605424,True
appfr,H10,10,macro_f1,25,13.519999999999982,0.001159229173904602,0.27039999999999964,0.013911344195314803,True
appfr,H12,12,accuracy,25,26.160000000000025,2.0865470238025953e-06,0.5232000000000006,2.5038564285631144e-05,True
appfr,H12,12,macro_f1,25,15.360000000000014,0.0004619748987816483,0.30720000000000025,0.006657909058543116,True
appfr,H14,14,accuracy,25,17.519999999999982,0.00015688460858652382,0.35039999999999966,0.0004010647343741942,True
appfr,H14,14,macro_f1,25,2.160000000000025,0.33959552564493484,0.0432000000000005,1.0,False
appfr,H16,16,accuracy,25,19.519999999999982,5.771462213521085e-05,0.39039999999999964,0.00028857311067605424,True
appfr,H16,16,macro_f1,25,1.6800000000000068,0.43171052342907823,0.03360000000000014,1.0,False
appfr,H18,18,accuracy,25,28.42424242424241,6.725958470569246e-07,0.5684848484848483,1.008893770585387e-05,True
appfr,H18,18,macro_f1,25,13.680000000000007,0.0010701033996396003,0.2736000000000001,0.013911344195314803,True
appfr,H20,20,accuracy,25,29.120000000000005,4.7497674120255185e-07,0.5824000000000001,7.59962785924083e-06,True
appfr,H20,20,macro_f1,25,15.680000000000007,0.00039366904065507677,0.31360000000000016,0.006298704650481228,True
appfr,H22,22,accuracy,25,23.360000000000014,8.46136542174418e-06,0.4672000000000003,5.922955795220926e-05,True
appfr,H22,22,macro_f1,25,11.840000000000032,0.002685200176953778,0.23680000000000065,0.02143403022255201,True
appfr,H24,24,accuracy,25,27.439999999999998,1.1002204380606947e-06,0.5488,1.5403086132849725e-05,True
appfr,H24,24,macro_f1,25,12.079999999999984,0.0023815589136168902,0.24159999999999968,0.02143403022255201,True
appfr,H26,26,accuracy,25,25.920000000000016,2.3525752000097557e-06,0.5184000000000003,2.5038564285631144e-05,True
appfr,H26,26,macro_f1,25,12.480000000000018,0.0019498555228451035,0.24960000000000038,0.019498555228451037,True
appfr,H28,28,accuracy,25,27.439999999999998,1.1002204380606947e-06,0.5488,1.5403086132849725e-05,True
appfr,H28,28,macro_f1,25,12.079999999999984,0.0023815589136168902,0.24159999999999968,0.02143403022255201,True
appfr,H30,30,accuracy,25,23.120000000000005,9.54016287307921e-06,0.4624000000000001,5.922955795220926e-05,True
appfr,H30,30,macro_f1,25,15.439999999999998,0.0004438606039028744,0.30879999999999996,0.006657909058543116,True
appfr,H32,32,accuracy,25,24.560000000000002,4.643695800696883e-06,0.4912,3.7149566405575063e-05,True
appfr,H32,32,macro_f1,25,13.519999999999982,0.001159229173904602,0.27039999999999964,0.013911344195314803,True
appod,H02,2,accuracy,25,21.680000000000007,1.9599627441405713e-05,0.43360000000000015,0.00018092736474249456,True
appod,H02,2,macro_f1,25,16.079999999999984,0.0003223089501190213,0.32159999999999966,0.0019444513525333181,True
appod,H04,4,accuracy,25,14.0,0.0009118819655545164,0.28,0.0014346235202186137,True
appod,H04,4,macro_f1,25,11.519999999999982,0.003151111598444471,0.23039999999999963,0.009453334795333413,True
appod,H06,6,accuracy,25,31.898989898989882,1.1836474158704054e-07,0.6379797979797976,1.8938358653926486e-06,True
appod,H06,6,macro_f1,25,27.920000000000016,8.654640498933832e-07,0.5584000000000003,1.384742479829413e-05,True
appod,H08,8,accuracy,25,28.879999999999995,5.355347802793116e-07,0.5775999999999999,8.033021704189674e-06,True
appod,H08,8,macro_f1,25,26.879999999999995,1.4557344617410605e-06,0.5375999999999999,2.0380282464374845e-05,True
appod,H10,10,accuracy,25,27.439999999999998,1.1002204380606947e-06,0.5488,1.5403086132849725e-05,True
appod,H10,10,macro_f1,25,27.439999999999998,1.1002204380606947e-06,0.5488,1.650330657091042e-05,True
