approach,history,history_frames,metric,friedman_holm_p,model_1,model_2,n_pairs,wilcoxon_statistic,raw_p,median_difference_model1_minus_model2,rank_biserial_model1_minus_model2,holm_p,significant,significant_better_model
appfr,H02,2,accuracy,0.0019498555228451035,qwen,internvl,25,38.0,0.0003764033317565918,0.0365111561866126,0.7661538461538462,0.0007528066635131836,True,qwen
appfr,H02,2,accuracy,0.0019498555228451035,qwen,llava,25,31.0,0.0001398921012878418,0.0937790157845868,0.8092307692307692,0.0004196763038635254,True,qwen
appfr,H02,2,accuracy,0.0019498555228451035,internvl,llava,25,78.0,0.021908342838287354,0.06128133704735372,0.52,0.021908342838287354,True,internvl
appfr,H02,2,macro_f1,0.03711605554825872,qwen,internvl,25,88.0,0.04512268304824829,0.01004278210200149,0.4584615384615385,0.09024536609649658,False,No difference
appfr,H02,2,macro_f1,0.03711605554825872,qwen,llava,25,68.0,0.00963503122329712,0.04062612700934021,0.5815384615384616,0.028905093669891357,True,qwen
appfr,H02,2,macro_f1,0.03711605554825872,internvl,llava,25,122.0,0.2872292995452881,0.02447510254729479,0.24923076923076923,0.2872292995452881,False,No difference
appfr,H04,4,accuracy,0.0004010647343741942,qwen,internvl,25,36.0,0.00028705596923828125,0.04947668886774492,0.7784615384615384,0.0007494091987609863,True,qwen
appfr,H04,4,accuracy,0.0004010647343741942,qwen,llava,25,35.0,0.0002498030662536621,0.0652482269503546,0.7846153846153846,0.0007494091987609863,True,qwen
appfr,H04,4,accuracy,0.0004010647343741942,internvl,llava,25,134.0,0.457846462726593,0.03978779840848812,0.1753846153846154,0.457846462726593,False,No difference
appfr,H06,6,accuracy,2.5038564285631144e-05,qwen,internvl,25,22.0,3.1948089599609375e-05,0.16432700247729154,0.8646153846153846,9.584426879882812e-05,True,qwen
appfr,H06,6,accuracy,2.5038564285631144e-05,qwen,llava,25,32.0,0.00016230344772338867,0.061046511627906974,0.803076923076923,0.00032460689544677734,True,qwen
appfr,H06,6,accuracy,2.5038564285631144e-05,internvl,llava,25,49.0,0.0014527440071105957,-0.11575562700964631,-0.6984615384615385,0.0014527440071105957,True,llava
appfr,H06,6,macro_f1,0.02143403022255201,qwen,internvl,25,61.0,0.0050716400146484375,0.04476336482200713,0.6246153846153846,0.010143280029296875,True,qwen
appfr,H06,6,macro_f1,0.02143403022255201,qwen,llava,25,162.0,1.0,-0.007808382599488656,0.003076923076923077,1.0,False,No difference
appfr,H06,6,macro_f1,0.02143403022255201,internvl,llava,25,49.0,0.0014527440071105957,-0.029146775366669264,-0.6984615384615385,0.004358232021331787,True,llava
appfr,H08,8,accuracy,3.287574445631297e-05,qwen,internvl,25,22.0,3.1948089599609375e-05,0.18249380677126348,0.8646153846153846,9.584426879882812e-05,True,qwen
