model,approach,score,decision,number_of_histories
internvl,appfr,deep_gini,No clear pattern,6
internvl,appfr,deep_gini,Opposite,10
internvl,appfr,entropy,No clear pattern,4
internvl,appfr,entropy,Opposite,12
internvl,appfr,msp,No clear pattern,6
internvl,appfr,msp,Opposite,10
internvl,appfr,pcs,No clear pattern,6
internvl,appfr,pcs,Opposite,10
internvl,appod,deep_gini,No clear pattern,8
internvl,appod,deep_gini,Opposite,8
internvl,appod,entropy,No clear pattern,4
internvl,appod,entropy,Opposite,12
internvl,appod,msp,Expected,3
internvl,appod,msp,No clear pattern,1
internvl,appod,msp,Opposite,12
internvl,appod,pcs,Expected,2
internvl,appod,pcs,No clear pattern,5
internvl,appod,pcs,Opposite,9
llava,appfr,deep_gini,Expected,15
llava,appfr,deep_gini,No clear pattern,1
llava,appfr,entropy,Expected,15
llava,appfr,entropy,No clear pattern,1
llava,appfr,msp,Expected,15
llava,appfr,msp,No clear pattern,1
llava,appfr,pcs,Expected,15
llava,appfr,pcs,No clear pattern,1
llava,appod,deep_gini,Expected,15
llava,appod,deep_gini,No clear pattern,1
llava,appod,entropy,Expected,15
llava,appod,entropy,No clear pattern,1
llava,appod,msp,Expected,15
llava,appod,msp,No clear pattern,1
llava,appod,pcs,Expected,15
llava,appod,pcs,No clear pattern,1
qwen,appfr,deep_gini,Expected,16
qwen,appfr,entropy,Expected,16
qwen,appfr,msp,Expected,16
qwen,appfr,pcs,Expected,16
qwen,appod,deep_gini,Expected,16
qwen,appod,entropy,Expected,16
qwen,appod,msp,Expected,16
qwen,appod,pcs,Expected,16
