metric,direction,approach,history,history_frames,n_complete_bags,test_performed,qwen_median_original,internvl_median_original,llava_median_original,qwen_median_oriented,internvl_median_oriented,llava_median_oriented,best_median_model,friedman_chi2,degrees_of_freedom,raw_p,kendalls_w,holm_p,significant_holm
msp,higher positive correctness correlation is better,appfr,H02,2,23,True,0.28747930963866963,-0.03952189267202892,0.026022899750619458,0.28747930963866963,-0.03952189267202892,0.026022899750619458,qwen,19.82608695652175,2,4.9524479352294575e-05,0.43100189035916847,0.0003961958348183566,True
msp,higher positive correctness correlation is better,appfr,H04,4,22,True,0.3008204362169514,-0.05041851354484862,0.15763901833737204,0.3008204362169514,-0.05041851354484862,0.15763901833737204,qwen,24.818181818181813,2,4.0813166670725465e-06,0.5640495867768593,5.713843333901565e-05,True
msp,higher positive correctness correlation is better,appfr,H06,6,20,True,0.2811480941780138,-0.08386599855007153,0.15489752948791324,0.2811480941780138,-0.08386599855007153,0.15489752948791324,qwen,24.69999999999999,2,4.329753266093003e-06,0.6174999999999997,5.713843333901565e-05,True
msp,higher positive correctness correlation is better,appfr,H08,8,21,True,0.2540883605730427,-0.06666294096618026,0.159061968652716,0.2540883605730427,-0.06666294096618026,0.159061968652716,qwen,19.14285714285711,2,6.969175280117632e-05,0.4557823129251693,0.0004878422696082342,True
msp,higher positive correctness correlation is better,appfr,H10,10,11,True,0.25052801303277983,-0.06505041604721279,0.16743033416087316,0.25052801303277983,-0.06505041604721279,0.16743033416087316,qwen,12.181818181818187,2,0.002263350388000263,0.5537190082644631,0.011316751940001315,True
msp,higher positive correctness correlation is better,appfr,H12,12,11,True,0.20564546374625103,-0.04933450724320328,0.12720404173937067,0.20564546374625103,-0.04933450724320328,0.12720404173937067,qwen,14.72727272727272,2,0.0006338892117716599,0.6694214876033054,0.003803335270629959,True
msp,higher positive correctness correlation is better,appfr,H14,14,24,True,0.2487269553793356,-0.04694009190925057,0.18204959637961152,0.2487269553793356,-0.04694009190925057,0.18204959637961152,qwen,24.25,2,5.422248370634151e-06,0.5052083333333334,6.506698044760981e-05,True
msp,higher positive correctness correlation is better,appfr,H16,16,24,True,0.22318232392187604,-0.019965664399787236,0.20089557209361464,0.22318232392187604,-0.019965664399787236,0.20089557209361464,qwen,21.583333333333314,2,2.0570209560673168e-05,0.4496527777777774,0.00018513188604605852,True
msp,higher positive correctness correlation is better,appfr,H18,18,11,True,0.23945944944724273,-0.07168407889486152,0.2108791042672901,0.23945944944724273,-0.07168407889486152,0.2108791042672901,qwen,11.090909090909093,2,0.003905167724273222,0.5041322314049588,0.015620670897092888,True
msp,higher positive correctness correlation is better,appfr,H20,20,10,True,0.2072476390298698,-0.039902074445383795,0.19531958710340835,0.2072476390298698,-0.039902074445383795,0.19531958710340835,qwen,5.6000000000000085,2,0.06081006262521769,0.2800000000000004,0.06081006262521769,False
