metric,direction,approach,history,history_frames,friedman_holm_p,model_1,model_2,n_pairs,median_oriented_difference_model1_minus_model2,wilcoxon_statistic,raw_p,rank_biserial_model1_minus_model2,descriptive_better_model,holm_p,significant_holm,significant_better_model
msp,higher positive correctness correlation is better,appfr,H02,2,0.0003961958348183566,qwen,internvl,23,0.33957433776593493,15.0,3.266334533691406e-05,0.8913043478260869,qwen,9.799003601074219e-05,True,qwen
msp,higher positive correctness correlation is better,appfr,H02,2,0.0003961958348183566,qwen,llava,23,0.24721167249701123,19.0,7.319450378417969e-05,0.8623188405797102,qwen,0.00014638900756835938,True,qwen
msp,higher positive correctness correlation is better,appfr,H02,2,0.0003961958348183566,internvl,llava,23,-0.07580526981799704,73.0,0.04844093322753906,-0.47101449275362317,llava,0.04844093322753906,True,llava
msp,higher positive correctness correlation is better,appfr,H04,4,5.713843333901565e-05,qwen,internvl,22,0.39403798093487136,5.0,4.76837158203125e-06,0.9604743083003953,qwen,1.430511474609375e-05,True,qwen
msp,higher positive correctness correlation is better,appfr,H04,4,5.713843333901565e-05,qwen,llava,22,0.1340265465564371,25.0,0.00042819976806640625,0.8023715415019763,qwen,0.00042819976806640625,True,qwen
msp,higher positive correctness correlation is better,appfr,H04,4,5.713843333901565e-05,internvl,llava,22,-0.22169211084356683,19.0,0.00014638900756835938,-0.849802371541502,llava,0.00029277801513671875,True,llava
msp,higher positive correctness correlation is better,appfr,H06,6,5.713843333901565e-05,qwen,internvl,20,0.4352674553044521,5.0,1.9073486328125e-05,0.9523809523809523,qwen,3.814697265625e-05,True,qwen
msp,higher positive correctness correlation is better,appfr,H06,6,5.713843333901565e-05,qwen,llava,20,0.09737980537885077,41.0,0.01531219482421875,0.6095238095238096,qwen,0.01531219482421875,True,qwen
msp,higher positive correctness correlation is better,appfr,H06,6,5.713843333901565e-05,internvl,llava,20,-0.25175345925243464,3.0,9.5367431640625e-06,-0.9714285714285714,llava,2.86102294921875e-05,True,llava
msp,higher positive correctness correlation is better,appfr,H08,8,0.0004878422696082342,qwen,internvl,21,0.42885022957895685,12.0,6.67572021484375e-05,0.8961038961038961,qwen,0.000133514404296875,True,qwen
msp,higher positive correctness correlation is better,appfr,H08,8,0.0004878422696082342,qwen,llava,21,0.10539674031664123,48.0,0.017546653747558594,0.5844155844155844,qwen,0.017546653747558594,True,qwen
msp,higher positive correctness correlation is better,appfr,H08,8,0.0004878422696082342,internvl,llava,21,-0.22454502026809744,10.0,4.100799560546875e-05,-0.9134199134199135,llava,0.00012302398681640625,True,llava
msp,higher positive correctness correlation is better,appfr,H10,10,0.011316751940001315,qwen,internvl,11,0.32594174593250047,2.0,0.0029296875,0.9393939393939394,qwen,0.005859375,True,qwen
msp,higher positive correctness correlation is better,appfr,H10,10,0.011316751940001315,qwen,llava,11,0.15141119617627308,14.0,0.1015625,0.5757575757575758,qwen,0.1015625,False,No difference
