metric,approach,history,history_frames,unique_winner,winner_code,decision_reason
msp,appfr,H02,2,qwen,Q,Significantly better than both alternatives
msp,appfr,H04,4,qwen,Q,Significantly better than both alternatives
msp,appfr,H06,6,qwen,Q,Significantly better than both alternatives
msp,appfr,H08,8,qwen,Q,Significantly better than both alternatives
msp,appfr,H10,10,No unique winner,—,No model significantly beat both alternatives
msp,appfr,H12,12,No unique winner,—,No model significantly beat both alternatives
msp,appfr,H14,14,qwen,Q,Significantly better than both alternatives
msp,appfr,H16,16,qwen,Q,Significantly better than both alternatives
msp,appfr,H18,18,No unique winner,—,No model significantly beat both alternatives
msp,appfr,H20,20,No unique winner,—,Omnibus not significant
msp,appfr,H22,22,No unique winner,—,No model significantly beat both alternatives
msp,appfr,H24,24,No unique winner,—,No model significantly beat both alternatives
msp,appfr,H26,26,No unique winner,—,No model significantly beat both alternatives
msp,appfr,H28,28,No unique winner,—,No model significantly beat both alternatives
msp,appfr,H30,30,No unique winner,—,No model significantly beat both alternatives
msp,appfr,H32,32,No unique winner,—,No model significantly beat both alternatives
msp,appod,H02,2,qwen,Q,Significantly better than both alternatives
msp,appod,H04,4,qwen,Q,Significantly better than both alternatives
msp,appod,H06,6,qwen,Q,Significantly better than both alternatives
msp,appod,H08,8,qwen,Q,Significantly better than both alternatives
msp,appod,H10,10,qwen,Q,Significantly better than both alternatives
msp,appod,H12,12,qwen,Q,Significantly better than both alternatives
msp,appod,H14,14,qwen,Q,Significantly better than both alternatives
msp,appod,H16,16,qwen,Q,Significantly better than both alternatives
msp,appod,H18,18,qwen,Q,Significantly better than both alternatives
msp,appod,H20,20,qwen,Q,Significantly better than both alternatives
msp,appod,H22,22,qwen,Q,Significantly better than both alternatives
msp,appod,H24,24,qwen,Q,Significantly better than both alternatives
msp,appod,H26,26,No unique winner,—,Omnibus not significant
msp,appod,H28,28,No unique winner,—,Omnibus not significant
msp,appod,H30,30,No unique winner,—,Omnibus not significant
msp,appod,H32,32,No unique winner,—,No model significantly beat both alternatives
