metric,direction,friedman_holm_p,model_1,model_2,n_pairs,median_oriented_difference_model1_minus_model2,wilcoxon_statistic,raw_p,rank_biserial_model1_minus_model2,descriptive_better_model,holm_p,significant_holm,significant_better_model
msp,higher positive correctness correlation is better,2.2840815407444907e-116,qwen,internvl,655,0.3202432501791462,10381.0,3.0247803032914344e-89,0.9033606404766338,qwen,9.074340909874303e-89,True,qwen
msp,higher positive correctness correlation is better,2.2840815407444907e-116,qwen,llava,655,0.09359000138387535,40673.0,3.491867274326883e-43,0.6213647365481288,qwen,3.491867274326883e-43,True,qwen
msp,higher positive correctness correlation is better,2.2840815407444907e-116,internvl,llava,655,-0.19824125120555164,23681.0,6.144010286190692e-67,-0.7795475702848631,llava,1.2288020572381384e-66,True,llava
pcs,higher positive correctness correlation is better,2.9701460914939705e-114,qwen,internvl,655,0.31916408852817885,11007.0,4.016709817417288e-88,0.8975330478495624,qwen,1.2050129452251863e-87,True,qwen
pcs,higher positive correctness correlation is better,2.9701460914939705e-114,qwen,llava,655,0.09323584474696239,40847.0,5.738465430357069e-43,0.6197449264568982,qwen,5.738465430357069e-43,True,qwen
pcs,higher positive correctness correlation is better,2.9701460914939705e-114,internvl,llava,655,-0.19136226875045456,24587.0,1.54648532178411e-65,-0.7711133867063862,llava,3.09297064356822e-65,True,llava
deep_gini,more negative correctness correlation is better,4.267375538723129e-121,qwen,internvl,655,0.32559465248068215,9367.0,4.4260430278206363e-91,0.9128002234220816,qwen,1.327812908346191e-90,True,qwen
deep_gini,more negative correctness correlation is better,4.267375538723129e-121,qwen,llava,655,0.10065738173240515,37874.0,9.909411803197702e-47,0.6474213368087879,qwen,9.909411803197702e-47,True,qwen
deep_gini,more negative correctness correlation is better,4.267375538723129e-121,internvl,llava,655,-0.17140758727154226,23388.0,2.148641872925562e-67,-0.7822751815304413,llava,4.297283745851124e-67,True,llava
entropy,more negative correctness correlation is better,1.8031433157215268e-124,qwen,internvl,655,0.3468629343909462,8078.0,1.933609739920413e-93,0.9247998510519456,qwen,5.800829219761239e-93,True,qwen
entropy,more negative correctness correlation is better,1.8031433157215268e-124,qwen,llava,655,0.06228722049982141,63236.0,7.509671782172435e-20,0.41132005213181905,qwen,7.509671782172435e-20,True,qwen
entropy,more negative correctness correlation is better,1.8031433157215268e-124,internvl,llava,655,-0.26070187713292636,15376.0,1.7434040075410657e-80,-0.8568609197542357,llava,3.486808015082131e-80,True,llava
ece,lower calibration error is better,3.7082902790553347e-177,qwen,internvl,800,0.2844522722392884,656.0,1.6202115720222238e-131,0.9959051186017478,qwen,4.860634716066671e-131,True,qwen
ece,lower calibration error is better,3.7082902790553347e-177,qwen,llava,800,0.06896910839800616,105071.0,3.399073606750907e-17,0.34412609238451936,qwen,3.399073606750907e-17,True,qwen
ece,lower calibration error is better,3.7082902790553347e-177,internvl,llava,800,-0.24264416277745943,25199.0,1.0097783840268636e-94,-0.8427028714107366,llava,2.0195567680537272e-94,True,llava
mce,lower calibration error is better,5.402380785955246e-51,qwen,internvl,800,0.1808362007668468,58192.0,7.044316030321842e-55,0.6367540574282148,qwen,2.1132948090965526e-54,True,qwen
mce,lower calibration error is better,5.402380785955246e-51,qwen,llava,800,0.09766456626041317,72253.0,3.018138473664976e-41,0.5489825218476904,qwen,6.036276947329952e-41,True,qwen
mce,lower calibration error is better,5.402380785955246e-51,internvl,llava,800,-0.03830792448293738,149353.0,0.09710654127870971,-0.06770911360799,llava,0.09710654127870971,False,No difference
