metric,model,approach,history,history_frames,bags,median_bag_value,mean_bag_value,q1_bag_value,q3_bag_value,iqr_bag_value,minimum_bag_value,maximum_bag_value,average_rank,pooled_frame_value,huron_median_bag_value,pal_median_bag_value,crowdbot_median_bag_value
accuracy,qwen,appfr,H02,2,25,0.89058039961941,0.7614408391987065,0.5755627009646302,0.9266487213997309,0.3510860204351006,0.3315270935960591,0.9767549976754998,8.96,0.7197525206232814,0.9087136929460581,0.6497695852534562,0.5348837209302325
accuracy,qwen,appfr,H04,4,25,0.89058039961941,0.7606093947221406,0.5736334405144694,0.941908713692946,0.36827527317847664,0.341871921182266,0.9846582984658299,9.42,0.716974106324473,0.9230769230769231,0.6418696510862409,0.48198970840480276
accuracy,qwen,appfr,H06,6,25,0.879162702188392,0.7652591630035505,0.5742765273311897,0.9564315352697096,0.38215500793851986,0.3495073891625616,0.99302649930265,9.3,0.7233043079743354,0.9297082228116711,0.6445029624753127,0.5125968992248062
accuracy,qwen,appfr,H08,8,25,0.8820171265461465,0.7620401266131408,0.5664739884393064,0.9550898203592815,0.38861583191997506,0.34458128078817735,0.9804741980474198,10.48,0.720525893675527,0.9300134589502019,0.6395655036208031,0.5155038759689923
accuracy,qwen,appfr,H10,10,25,0.8771929824561403,0.7659681446016562,0.5794212218649518,0.9491017964071856,0.3696805745422338,0.3448275862068966,0.9851231985123199,10.84,0.7251374885426215,0.9283819628647215,0.6441737985516788,0.5426356589147286
accuracy,qwen,appfr,H12,12,25,0.8810656517602283,0.7639437411392742,0.5755573905862923,0.9497882637628554,0.3742308731765631,0.33620689655172414,0.9827986982798699,10.48,0.7226168652612283,0.9190981432360743,0.640882159315339,0.5397286821705426
accuracy,qwen,appfr,H14,14,25,0.879162702188392,0.7663157761774961,0.5558987029030266,0.9534180278281912,0.3975193249251646,0.34211822660098523,0.9907019990702,9.92,0.7240203941338221,0.933378196500673,0.6398946675444371,0.5290697674418605
accuracy,qwen,appfr,H16,16,25,0.8801169590643275,0.765893797692541,0.5445736434108527,0.9485783424077435,0.40400469899689084,0.34285714285714286,0.9925615992561599,10.08,0.7233043079743354,0.9300134589502019,0.640882159315339,0.5182555780933062
accuracy,qwen,appfr,H18,18,25,0.8829686013320647,0.7717850320030754,0.5962014863748968,0.9516031457955233,0.3554016594206265,0.3502463054187192,0.99302649930265,8.34,0.7286033455545371,0.9350132625994695,0.6362738643844634,0.5567951318458418
accuracy,qwen,appfr,H20,20,25,0.8858230256898192,0.772172151151254,0.5986787778695293,0.9509981851179673,0.352319407248438,0.35123152709359606,0.99581589958159,7.9,0.7287465627864345,0.9340511440107672,0.6359447004608295,0.561046511627907
accuracy,qwen,appfr,H22,22,25,0.8839200761179828,0.7722610334676374,0.6036333608587944,0.9528130671506352,0.3491797062918408,0.3458128078817734,0.9953509995351,7.34,0.7306943171402384,0.9350132625994695,0.642198815009875,0.5503875968992248
accuracy,qwen,appfr,H24,24,25,0.8886774500475737,0.7726038460592903,0.5854665565648225,0.9528130671506352,0.3673465105858127,0.34630541871921183,0.9962807996280799,6.6,0.7302933088909258,0.9347240915208613,0.6428571428571429,0.5503875968992248
accuracy,qwen,appfr,H26,26,25,0.8839200761179828,0.7730082158154779,0.6151940545004129,0.9546279491833031,0.3394338946828902,0.34507389162561575,0.9962807996280799,6.66,0.7323556370302475,0.9347240915208613,0.6458196181698486,0.5478690549722051
accuracy,qwen,appfr,H28,28,25,0.8915318744053282,0.7737285328817484,0.6143682906688687,0.957047791893527,0.3426795012246583,0.346483704974271,0.99767549976755,6.06,0.7337018790100825,0.9327052489905787,0.6445029624753127,0.5540457072266831
accuracy,qwen,appfr,H30,30,25,0.8858230256898192,0.7724217997095715,0.6347266881028939,0.9576527525710828,0.32292606446818894,0.34704433497536946,0.99581589958159,6.6,0.731897341888176,0.9363395225464191,0.6454904542462147,0.5425963488843814
accuracy,qwen,appfr,H32,32,25,0.8867745004757374,0.7721916892129967,0.6321543408360129,0.9548022598870056,0.32264791905099277,0.3480295566502463,0.9962807996280799,7.02,0.7319259853345554,0.9340511440107672,0.6438446346280448,0.5304259634888439
