metric,model,approach,history_1,history_2,n_pairs,nonzero_pairs,friedman_holm_p,median_difference_h1_minus_h2,mean_difference_h1_minus_h2,wilcoxon_statistic,raw_p,holm_p,rank_biserial_h1_minus_h2,significant_holm,significant_better_history
accuracy,qwen,appod,H02,H30,25,25,7.173706809430005e-15,-0.028901734104046173,-0.04147827485733927,26.0,6.365776062011719e-05,0.0076389312744140625,-0.84,True,H30
accuracy,qwen,appod,H02,H32,25,25,7.173706809430005e-15,-0.03378995433789955,-0.045033385470741275,31.0,0.0001398921012878418,0.016507267951965332,-0.8092307692307692,True,H32
accuracy,qwen,appod,H04,H06,25,25,7.173706809430005e-15,-0.04076590487955528,-0.04292223636057647,32.0,0.00016230344772338867,0.018827199935913086,-0.803076923076923,True,H06
accuracy,qwen,appod,H04,H14,25,25,7.173706809430005e-15,-0.05328258801141772,-0.054916144282277,38.0,0.0003764033317565918,0.04027515649795532,-0.7661538461538462,True,H14
accuracy,qwen,appod,H04,H24,25,25,7.173706809430005e-15,-0.045638945233265726,-0.05749640029867511,34.0,0.00021690130233764648,0.024509847164154053,-0.7907692307692308,True,H24
accuracy,qwen,appod,H04,H26,25,25,7.173706809430005e-15,-0.05882352941176472,-0.06057566260078651,31.0,0.0001398921012878418,0.016507267951965332,-0.8092307692307692,True,H26
accuracy,qwen,appod,H04,H28,25,25,7.173706809430005e-15,-0.056591639871382604,-0.06097820339151504,32.0,0.00016230344772338867,0.018827199935913086,-0.803076923076923,True,H28
accuracy,qwen,appod,H04,H30,25,25,7.173706809430005e-15,-0.0675547098001903,-0.06610529798819673,27.0,7.49826431274414e-05,0.008922934532165527,-0.8338461538461538,True,H30
accuracy,qwen,appod,H04,H32,25,25,7.173706809430005e-15,-0.0675547098001903,-0.06966040860159874,33.0,0.00018787384033203125,0.021417617797851562,-0.796923076923077,True,H32
accuracy,qwen,appod,H08,H26,25,25,7.173706809430005e-15,-0.020932445290199775,-0.028919995513963227,35.0,0.0002498030662536621,0.02722853422164917,-0.7846153846153846,True,H26
accuracy,qwen,appod,H08,H28,25,25,7.173706809430005e-15,-0.024198427102238296,-0.029322536304691754,34.0,0.00021690130233764648,0.024509847164154053,-0.7907692307692308,True,H28
accuracy,qwen,appod,H08,H30,25,24,7.173706809430005e-15,-0.0232126276694522,-0.03444963090137345,24.0,0.00031821718031506727,0.03436745547402727,-0.84,True,H30
accuracy,qwen,appod,H12,H32,25,25,7.173706809430005e-15,-0.012704174228675091,-0.022651797380352987,34.0,0.00021690130233764648,0.024509847164154053,-0.7907692307692308,True,H32
accuracy,qwen,appod,H22,H32,25,24,7.173706809430005e-15,-0.01065891472868219,-0.017665139215755687,21.0,0.00022806209587862398,0.025086830546648637,-0.86,True,H32
accuracy,internvl,appfr,H02,H06,25,24,3.4594714195472126e-17,0.13742690058479534,0.1327259011730044,26.0,0.0003958170582658894,0.0294836359640335,0.8266666666666667,True,H02
