metric,model,approach,history_1,history_2,n_pairs,nonzero_pairs,friedman_holm_p,median_difference_h1_minus_h2,mean_difference_h1_minus_h2,wilcoxon_statistic,raw_p,holm_p,rank_biserial_h1_minus_h2,significant_holm,significant_better_history
accuracy,qwen,appfr,H02,H04,25,23,3.917591313096919e-05,0.0,0.0008314444765660567,113.0,0.4470311611751585,1.0,-0.18115942028985507,False,No difference
accuracy,qwen,appfr,H02,H06,25,25,3.917591313096919e-05,0.0018832391713747842,-0.0038183238048440813,162.0,1.0,1.0,0.003076923076923077,False,No difference
accuracy,qwen,appfr,H02,H08,25,24,3.917591313096919e-05,0.0,-0.0005992874144342641,148.0,0.954431397113681,1.0,0.013333333333333334,False,No difference
accuracy,qwen,appfr,H02,H10,25,24,3.917591313096919e-05,-0.0038585209003215715,-0.004527305402949686,139.0,0.7533040472859123,1.0,-0.07333333333333333,False,No difference
accuracy,qwen,appfr,H02,H12,25,24,3.917591313096919e-05,0.0,-0.0025029019405676633,144.0,0.8638867905449266,1.0,0.04,False,No difference
accuracy,qwen,appfr,H02,H14,25,25,3.917591313096919e-05,0.002389486260453988,-0.0048749369787895345,151.0,0.7711594104766846,1.0,-0.07076923076923076,False,No difference
accuracy,qwen,appfr,H02,H16,25,24,3.917591313096919e-05,0.0,-0.004452958493834302,136.0,0.6891565167793516,1.0,-0.09333333333333334,False,No difference
accuracy,qwen,appfr,H02,H18,25,25,3.917591313096919e-05,-0.0017921146953405742,-0.010344192804368718,124.0,0.312333345413208,1.0,-0.23692307692307693,False,No difference
accuracy,qwen,appfr,H02,H20,25,25,3.917591313096919e-05,-0.0014619883040936088,-0.01073131195254739,120.0,0.2634761333465576,1.0,-0.26153846153846155,False,No difference
accuracy,qwen,appfr,H02,H22,25,25,3.917591313096919e-05,-0.0014184397163120588,-0.010820194268930708,128.0,0.3665854334831238,1.0,-0.2123076923076923,False,No difference
accuracy,qwen,appfr,H02,H24,25,25,3.917591313096919e-05,-0.0017921146953405742,-0.011163006860583856,126.0,0.33878785371780396,1.0,-0.2246153846153846,False,No difference
accuracy,qwen,appfr,H02,H26,25,25,3.917591313096919e-05,-0.004844961240310086,-0.011567376616771203,116.0,0.21998637914657593,1.0,-0.28615384615384615,False,No difference
accuracy,qwen,appfr,H02,H28,25,25,3.917591313096919e-05,-0.006056527590847849,-0.012287693683041749,106.5,0.13184776568644038,1.0,-0.3446153846153846,False,No difference
accuracy,qwen,appfr,H02,H30,25,25,3.917591313096919e-05,-0.00907441016333932,-0.010980960510864944,111.0,0.17295855283737183,1.0,-0.3169230769230769,False,No difference
accuracy,qwen,appfr,H02,H32,25,25,3.917591313096919e-05,-0.0029239766081872176,-0.010750850014290145,115.0,0.20993918180465698,1.0,-0.2923076923076923,False,No difference
accuracy,qwen,appfr,H04,H06,25,22,3.917591313096919e-05,-0.0006430868167203174,-0.0046497682814101386,98.0,0.35482494312859736,1.0,-0.22529644268774704,False,No difference
accuracy,qwen,appfr,H04,H08,25,24,3.917591313096919e-05,0.0,-0.0014307318910003208,129.0,0.5485062355001472,1.0,-0.14,False,No difference
accuracy,qwen,appfr,H04,H10,25,24,3.917591313096919e-05,0.00041425020712504423,-0.005358749879515743,144.0,0.8638867905449266,1.0,0.04,False,No difference
accuracy,qwen,appfr,H04,H12,25,25,3.917591313096919e-05,0.0018596001859599864,-0.00333434641713372,159.5,0.9356611412487527,1.0,-0.018461538461538463,False,No difference
accuracy,qwen,appfr,H04,H14,25,24,3.917591313096919e-05,0.0004642525533889996,-0.005706381455355592,124.0,0.45756817506250735,1.0,-0.17333333333333334,False,No difference
accuracy,qwen,appfr,H04,H16,25,24,3.917591313096919e-05,0.0,-0.00528440297040036,122.0,0.4237107971667934,1.0,-0.18666666666666668,False,No difference
accuracy,qwen,appfr,H04,H18,25,24,3.917591313096919e-05,-0.0029868578255675127,-0.011175637280934774,98.0,0.1373547103361862,1.0,-0.3466666666666667,False,No difference
accuracy,qwen,appfr,H04,H20,25,24,3.917591313096919e-05,-0.0014619883040936088,-0.011562756429113448,92.0,0.09749059620220792,1.0,-0.38666666666666666,False,No difference
accuracy,qwen,appfr,H04,H22,25,25,3.917591313096919e-05,-0.002389486260453988,-0.011651638745496764,107.0,0.14091521501541138,1.0,-0.3415384615384615,False,No difference
accuracy,qwen,appfr,H04,H24,25,25,3.917591313096919e-05,-0.0029868578255675127,-0.011994451337149912,96.0,0.07547956705093384,1.0,-0.40923076923076923,False,No difference
accuracy,qwen,appfr,H04,H26,25,24,3.917591313096919e-05,-0.0032019704433497442,-0.01239882109333726,87.0,0.07186063822585158,1.0,-0.42,False,No difference
accuracy,qwen,appfr,H04,H28,25,25,3.917591313096919e-05,-0.0026333113890717463,-0.013119138159607807,94.0,0.06670159101486206,1.0,-0.42153846153846153,False,No difference
accuracy,qwen,appfr,H04,H30,25,25,3.917591313096919e-05,-0.005172413793103459,-0.011812404987431,76.0,0.018744707107543945,1.0,-0.5323076923076923,False,No difference
accuracy,qwen,appfr,H04,H32,25,24,3.917591313096919e-05,-0.003629764065335772,-0.011582294490856203,79.0,0.042501961142818866,1.0,-0.47333333333333333,False,No difference
accuracy,qwen,appfr,H06,H08,25,23,3.917591313096919e-05,0.0,0.0032190363904098175,107.0,0.3457507008948919,1.0,0.2246376811594203,False,No difference
accuracy,qwen,appfr,H06,H10,25,25,3.917591313096919e-05,0.0012210012210012167,-0.0007089815981056047,129.0,0.3809836506843567,1.0,0.20615384615384616,False,No difference
accuracy,qwen,appfr,H06,H12,25,24,3.917591313096919e-05,0.00046425255338911064,0.0013154218642764182,141.0,0.7970684943591221,1.0,0.06,False,No difference
accuracy,qwen,appfr,H06,H14,25,21,3.917591313096919e-05,0.0,-0.0010566131739454532,99.0,0.5663053702569848,1.0,-0.14285714285714285,False,No difference
accuracy,qwen,appfr,H06,H16,25,24,3.917591313096919e-05,0.0,-0.000634634688990221,126.0,0.4928932964396343,1.0,-0.16,False,No difference
accuracy,qwen,appfr,H06,H18,25,22,3.917591313096919e-05,-0.0013458950201884479,-0.006525868999524636,88.0,0.21132602018191227,1.0,-0.30434782608695654,False,No difference
accuracy,qwen,appfr,H06,H20,25,23,3.917591313096919e-05,-0.0020746887966804906,-0.00691298814770331,95.0,0.1909265697823631,1.0,-0.3115942028985507,False,No difference
accuracy,qwen,appfr,H06,H22,25,23,3.917591313096919e-05,-0.0020746887966804906,-0.007001870464086626,102.0,0.2735436610893661,1.0,-0.2608695652173913,False,No difference
accuracy,qwen,appfr,H06,H24,25,22,3.917591313096919e-05,-0.0006729475100941684,-0.007344683055739773,88.0,0.21132602018191227,1.0,-0.30434782608695654,False,No difference
accuracy,qwen,appfr,H06,H26,25,23,3.917591313096919e-05,-0.0020746887966804906,-0.007749052811927122,79.0,0.07273623070102449,1.0,-0.427536231884058,False,No difference
accuracy,qwen,appfr,H06,H28,25,22,3.917591313096919e-05,-0.0020746887966804906,-0.008469369878197668,67.0,0.05339578044263108,1.0,-0.47035573122529645,False,No difference
accuracy,qwen,appfr,H06,H30,25,23,3.917591313096919e-05,-0.0020746887966804906,-0.007162636706020862,92.0,0.16178664110148655,1.0,-0.3333333333333333,False,No difference
accuracy,qwen,appfr,H06,H32,25,22,3.917591313096919e-05,0.0,-0.006932526209446063,96.0,0.32207523283525596,1.0,-0.24110671936758893,False,No difference
