metric,model,approach,history,significant_wins,significant_losses,win_tier
macro_f1,internvl,appfr,H02,12,0,1
macro_f1,internvl,appfr,H14,7,0,2
macro_f1,internvl,appfr,H06,5,1,3
macro_f1,internvl,appfr,H04,4,0,4
macro_f1,internvl,appfr,H16,3,0,5
macro_f1,internvl,appfr,H08,2,1,6
macro_f1,internvl,appod,H02,2,0,1
macro_f1,internvl,appod,H04,2,0,1
macro_f1,internvl,appod,H14,2,0,1
macro_f1,internvl,appod,H16,2,0,1
macro_f1,internvl,appod,H18,2,0,1
macro_f1,internvl,appod,H20,2,0,1
macro_f1,internvl,appod,H22,2,0,1
macro_f1,internvl,appod,H24,2,0,1
macro_f1,internvl,appod,H30,2,0,1
macro_f1,internvl,appod,H10,1,0,2
macro_f1,internvl,appod,H12,1,0,2
