model,approach,history,history_frames,frames,bags,accuracy,balanced_accuracy,macro_f1,recall_safe,recall_potentially_unsafe,recall_unsafe
qwen,appfr,H02,2,34912,25,0.7197525206232814,0.43978331970720747,0.4331153409029523,0.8435349655944951,0.4758149935271272,0.0
qwen,appfr,H04,4,34912,25,0.716974106324473,0.4109643883298288,0.40924768505992937,0.8821811489838374,0.35071201600564905,0.0
qwen,appfr,H06,6,34912,25,0.7233043079743354,0.4219386866835338,0.4203695980517663,0.8786205792926868,0.38719548075791455,0.0
qwen,appfr,H08,8,34912,25,0.720525893675527,0.41142685924958067,0.4102154950826116,0.8889822371579452,0.3452983405907967,0.0
qwen,appfr,H10,10,34912,25,0.7251374885426215,0.42556282152529756,0.4237818530174425,0.8769003040486478,0.3997881605272449,0.0
qwen,appfr,H12,12,34912,25,0.7226168652612283,0.4199614153163882,0.4185733777793115,0.8802208353336534,0.37966341061551134,0.0
qwen,appfr,H14,14,34912,25,0.7240203941338221,0.4249391620520489,0.4237692400395241,0.875500080012802,0.3993174061433447,0.0
qwen,appfr,H16,16,34912,25,0.7233043079743354,0.424087894077175,0.4229716351197761,0.8753000480076812,0.39696363422384373,0.0
qwen,appfr,H18,18,34912,25,0.7286033455545371,0.4164303760650663,0.41701905371378317,0.8983437349975996,0.35094739319759916,0.0
qwen,appfr,H20,20,34912,25,0.7287465627864345,0.4150987738909906,0.4157280504481342,0.9007041126580253,0.34459220901494647,0.0
qwen,appfr,H22,22,34912,25,0.7306943171402384,0.41626452629737454,0.4165506386308142,0.9030244839174267,0.34576909497469693,0.0
qwen,appfr,H24,24,34912,25,0.7302933088909258,0.4163108763441145,0.41672567784820386,0.902104336693871,0.3468282923384724,0.0
qwen,appfr,H26,26,34912,25,0.7323556370302475,0.41563970387472576,0.4158989853286001,0.9075052008321332,0.33941391079204425,0.0
qwen,appfr,H28,28,34912,25,0.7337018790100825,0.41719865716351495,0.41763800047680694,0.907945271243399,0.34365070024714606,0.0
qwen,appfr,H30,30,34912,25,0.731897341888176,0.4075804347125574,0.40743624416329044,0.9189870379260682,0.3037542662116041,0.0
qwen,appfr,H32,32,34912,25,0.7319259853345554,0.40883668529877965,0.4088139253813492,0.9171067370779324,0.3094033188184065,0.0
qwen,appod,H02,2,34912,25,0.6863829055912007,0.4158319295231445,0.4067638454324587,0.8099295887341975,0.437566199835236,0.0
qwen,appod,H04,4,34912,25,0.6571379468377635,0.4479971245989763,0.4161329454113132,0.6983517362778044,0.6456396375191243,0.0
qwen,appod,H06,6,34912,25,0.7029388175985335,0.45577794035841784,0.4366011976016875,0.7832453192510802,0.5840885018241733,0.0
qwen,appod,H08,8,34912,25,0.6894763978001833,0.44850040233027055,0.42762157748145796,0.7660025604096655,0.5794986465811462,0.0
qwen,appod,H10,10,34912,25,0.7049152153987168,0.45033109198056587,0.43543813351997085,0.7964474315890543,0.5531364010827351,0.0014094432699083862
qwen,appod,H12,12,34912,25,0.7048865719523373,0.45169014195769014,0.4360316317747381,0.7942870859337494,0.5593738966694127,0.0014094432699083862
qwen,appod,H14,14,34912,25,0.7102428964252979,0.44603871865856276,0.4341294386581449,0.8140502480396864,0.5233611863010474,0.0007047216349541931
qwen,appod,H16,16,34912,25,0.7049438588450962,0.4402227924235402,0.4304883417646677,0.812730036805889,0.5051194539249146,0.0028188865398167725
qwen,appod,H18,18,34912,25,0.7126489459211732,0.4390340502515098,0.43265022216562604,0.8311729876780285,0.48240555490173004,0.0035236081747709656
qwen,appod,H20,20,34912,25,0.6993297433547204,0.43169402193153544,0.42737696519033447,0.8170507281164986,0.468165234788749,0.009866102889358703
qwen,appod,H22,22,34912,25,0.7061755270394133,0.44241606875864575,0.43265256072244523,0.812249959993599,0.5114746381075673,0.0035236081747709656
qwen,appod,H24,24,34912,25,0.7105293308890925,0.4415917682111059,0.4323355523992711,0.8221315410465675,0.5005295986818877,0.0021141649048625794
qwen,appod,H26,26,34912,25,0.716916819431714,0.4517038088337393,0.44160749328411414,0.8209313490158425,0.5299517476756502,0.004228329809725159
qwen,appod,H28,28,34912,25,0.7152268560953254,0.44990745044395325,0.442409957630048,0.8228516562650025,0.5162998705425444,0.010570824524312896
qwen,appod,H30,30,34912,25,0.7222158570119157,0.44324946357626804,0.43911163870035524,0.8464154264682349,0.4762857479110274,0.007047216349541931
qwen,appod,H32,32,34912,25,0.7278299725022914,0.4531338612991671,0.448696933330138,0.8445351256200992,0.5042956337530893,0.010570824524312896
internvl,appfr,H02,2,34912,25,0.6610620989917507,0.44570692724668276,0.41720037593923825,0.710193630980957,0.6269271507590914,0.0
internvl,appfr,H04,4,34912,25,0.657166590284143,0.43418302936472664,0.41054597781794366,0.7197551608257321,0.5827939272684477,0.0
internvl,appfr,H06,6,34912,25,0.5428792392300642,0.4170708425897671,0.35905760230688083,0.5043606977116338,0.7468518300576674,0.0
internvl,appfr,H08,8,34912,25,0.5457722273143905,0.41297997111101853,0.35956120899126304,0.5168026884301489,0.7221372249029069,0.0
internvl,appfr,H10,10,34912,25,0.5014894592117324,0.4336902668304376,0.3401867271236789,0.39110257641222596,0.9099682240790867,0.0
internvl,appfr,H12,12,34912,25,0.5104262144821264,0.4109469990189603,0.34193535011655835,0.44515122419587133,0.7876897728610097,0.0
internvl,appfr,H14,14,34912,25,0.635884509624198,0.4313956452482399,0.40122436211818474,0.6790286445831333,0.6151582911615865,0.0
internvl,appfr,H16,16,34912,25,0.6349392758936755,0.43061895199218697,0.40061162499422837,0.67822851656265,0.6136283394139108,0.0
internvl,appfr,H18,18,34912,25,0.48862855178735104,0.40504533528314596,0.32939895405662506,0.4081453032485198,0.806990702600918,0.0
internvl,appfr,H20,20,34912,25,0.5197639780018332,0.41182455655577993,0.3468086863874007,0.46355416866698673,0.7719195010003531,0.0
internvl,appfr,H22,22,34912,25,0.5032939963336389,0.4167411786081921,0.33918291954860175,0.42110737718034885,0.8291161586442274,0.0
internvl,appfr,H24,24,34912,25,0.5010884509624198,0.3998671798785911,0.33499438645443963,0.4425108017282765,0.7570907379074968,0.0
internvl,appfr,H26,26,34912,25,0.5068171402383135,0.40376571355920693,0.33909359794529853,0.44891182589214274,0.7616805931505237,0.0007047216349541931
internvl,appfr,H28,28,34912,25,0.5302474793767186,0.4082379782310814,0.35094805746748153,0.4912786045767323,0.7334353301165117,0.0
internvl,appfr,H30,30,34912,25,0.5309635655362053,0.4173235588707492,0.35353880579200775,0.47875660105616896,0.7732140755560786,0.0
internvl,appfr,H32,32,34912,25,0.5416189275893676,0.41420540432285335,0.35774307794234966,0.5061209793566971,0.736495233611863,0.0
