model,approach,history,accuracy_significant_wins,macro_f1_significant_wins,accuracy_win_tier,macro_f1_win_tier,allowed_interval_s,total_events,actionable,actionable_rate,too_early,too_early_rate,too_late,too_late_rate,missed,missed_rate,warning,warning_rate
internvl,appfr,H02,12,12,1,1,1,86,9,0.1046511627906976,59,0.686046511627907,11,0.127906976744186,7,0.0813953488372093,79,0.9186046511627908
internvl,appfr,H02,12,12,1,1,2,86,11,0.127906976744186,57,0.6627906976744186,11,0.127906976744186,7,0.0813953488372093,79,0.9186046511627908
internvl,appfr,H02,12,12,1,1,3,86,14,0.1627906976744186,54,0.627906976744186,11,0.127906976744186,7,0.0813953488372093,79,0.9186046511627908
internvl,appfr,H02,12,12,1,1,4,86,16,0.1860465116279069,52,0.6046511627906976,11,0.127906976744186,7,0.0813953488372093,79,0.9186046511627908
internvl,appfr,H02,12,12,1,1,5,86,19,0.2209302325581395,49,0.5697674418604651,11,0.127906976744186,7,0.0813953488372093,79,0.9186046511627908
internvl,appfr,H04,11,4,2,4,1,86,4,0.0465116279069767,58,0.6744186046511628,12,0.1395348837209302,12,0.1395348837209302,74,0.8604651162790697
internvl,appfr,H04,11,4,2,4,2,86,8,0.0930232558139534,54,0.627906976744186,12,0.1395348837209302,12,0.1395348837209302,74,0.8604651162790697
internvl,appfr,H04,11,4,2,4,3,86,10,0.1162790697674418,52,0.6046511627906976,12,0.1395348837209302,12,0.1395348837209302,74,0.8604651162790697
internvl,appfr,H04,11,4,2,4,4,86,11,0.127906976744186,51,0.5930232558139535,12,0.1395348837209302,12,0.1395348837209302,74,0.8604651162790697
internvl,appfr,H04,11,4,2,4,5,86,15,0.1744186046511628,47,0.5465116279069767,12,0.1395348837209302,12,0.1395348837209302,74,0.8604651162790697
internvl,appfr,H06,3,5,3,3,1,86,6,0.0697674418604651,63,0.7325581395348837,15,0.1744186046511628,2,0.0232558139534883,84,0.9767441860465116
internvl,appfr,H06,3,5,3,3,2,86,10,0.1162790697674418,59,0.686046511627907,15,0.1744186046511628,2,0.0232558139534883,84,0.9767441860465116
internvl,appfr,H06,3,5,3,3,3,86,14,0.1627906976744186,55,0.6395348837209303,15,0.1744186046511628,2,0.0232558139534883,84,0.9767441860465116
internvl,appfr,H06,3,5,3,3,4,86,16,0.1860465116279069,53,0.6162790697674418,15,0.1744186046511628,2,0.0232558139534883,84,0.9767441860465116
internvl,appfr,H06,3,5,3,3,5,86,18,0.2093023255813953,51,0.5930232558139535,15,0.1744186046511628,2,0.0232558139534883,84,0.9767441860465116
internvl,appfr,H08,2,2,4,6,1,86,6,0.0697674418604651,63,0.7325581395348837,14,0.1627906976744186,3,0.0348837209302325,83,0.9651162790697676
internvl,appfr,H08,2,2,4,6,2,86,10,0.1162790697674418,59,0.686046511627907,14,0.1627906976744186,3,0.0348837209302325,83,0.9651162790697676
internvl,appfr,H08,2,2,4,6,3,86,14,0.1627906976744186,55,0.6395348837209303,14,0.1627906976744186,3,0.0348837209302325,83,0.9651162790697676
internvl,appfr,H08,2,2,4,6,4,86,16,0.1860465116279069,53,0.6162790697674418,14,0.1627906976744186,3,0.0348837209302325,83,0.9651162790697676
internvl,appfr,H08,2,2,4,6,5,86,18,0.2093023255813953,51,0.5930232558139535,14,0.1627906976744186,3,0.0348837209302325,83,0.9651162790697676
internvl,appfr,H14,12,7,1,2,1,86,5,0.0581395348837209,58,0.6744186046511628,14,0.1627906976744186,9,0.1046511627906976,77,0.8953488372093024
internvl,appfr,H14,12,7,1,2,2,86,8,0.0930232558139534,55,0.6395348837209303,14,0.1627906976744186,9,0.1046511627906976,77,0.8953488372093024
internvl,appfr,H14,12,7,1,2,3,86,10,0.1162790697674418,53,0.6162790697674418,14,0.1627906976744186,9,0.1046511627906976,77,0.8953488372093024
internvl,appfr,H14,12,7,1,2,4,86,12,0.1395348837209302,51,0.5930232558139535,14,0.1627906976744186,9,0.1046511627906976,77,0.8953488372093024
internvl,appfr,H14,12,7,1,2,5,86,14,0.1627906976744186,49,0.5697674418604651,14,0.1627906976744186,9,0.1046511627906976,77,0.8953488372093024
internvl,appfr,H16,12,3,1,5,1,86,5,0.0581395348837209,58,0.6744186046511628,13,0.1511627906976744,10,0.1162790697674418,76,0.8837209302325582
internvl,appfr,H16,12,3,1,5,2,86,8,0.0930232558139534,55,0.6395348837209303,13,0.1511627906976744,10,0.1162790697674418,76,0.8837209302325582
internvl,appfr,H16,12,3,1,5,3,86,10,0.1162790697674418,53,0.6162790697674418,13,0.1511627906976744,10,0.1162790697674418,76,0.8837209302325582
internvl,appfr,H16,12,3,1,5,4,86,12,0.1395348837209302,51,0.5930232558139535,13,0.1511627906976744,10,0.1162790697674418,76,0.8837209302325582
internvl,appfr,H16,12,3,1,5,5,86,14,0.1627906976744186,49,0.5697674418604651,13,0.1511627906976744,10,0.1162790697674418,76,0.8837209302325582
