model,approach,history,accuracy_significant_wins,accuracy_significant_losses,accuracy_win_tier,macro_f1_significant_wins,macro_f1_significant_losses,macro_f1_win_tier,history_frames
internvl,appfr,H02,12,0,1,12,0,1,2
internvl,appfr,H04,11,0,2,4,0,4,4
internvl,appfr,H06,3,3,3,5,1,3,6
internvl,appfr,H08,2,4,4,2,1,6,8
internvl,appfr,H14,12,0,1,7,0,2,14
internvl,appfr,H16,12,0,1,3,0,5,16
internvl,appod,H02,4,0,2,2,0,1,2
internvl,appod,H04,2,1,4,2,0,1,4
internvl,appod,H10,1,0,5,1,0,2,10
internvl,appod,H12,1,0,5,1,0,2,12
internvl,appod,H14,5,0,1,2,0,1,14
internvl,appod,H16,2,1,4,2,0,1,16
internvl,appod,H18,1,3,5,2,0,1,18
internvl,appod,H20,1,2,5,2,0,1,20
internvl,appod,H22,4,0,2,2,0,1,22
internvl,appod,H24,2,0,4,2,0,1,24
internvl,appod,H30,3,0,3,2,0,1,30
