model,approach,history,history_frames,case_study,bag_name,global_bag_id,event_id_within_bag,event_key,unsafe_start_frame_id,unsafe_end_frame_id,unsafe_start_s,unsafe_end_s,previous_unsafe_end_s,first_warning_frame_id,first_warning_s,first_warning_label,speed_at_warning_mps,lead_time_s,t_required_s,warning_raw_source_file,allowed_interval_s,t_earliest_s,outcome
qwen,appfr,H02,2,crowdbot,defaced_2021-04-24-11-20-18,crowdbot__defaced_2021-04-24-11-20-18,0,crowdbot__defaced_2021-04-24-11-20-18::defaced_2021-04-24-11-20-18_frame_000156,defaced_2021-04-24-11-20-18_frame_000156,defaced_2021-04-24-11-20-18_frame_000160,1619256030.010507,1619256030.2988803,,defaced_2021-04-24-11-20-18_frame_000013,1619256019.1224778,potentially_unsafe,0.1403136130001667,10.888029336929321,0.8403136130001667,qwen/appfr/h02/qwen_defaced_2021-04-24-11-20-18_appfr_h02.csv,1,1.8403136130001667,too_early
qwen,appfr,H02,2,crowdbot,defaced_2021-04-24-11-20-18,crowdbot__defaced_2021-04-24-11-20-18,0,crowdbot__defaced_2021-04-24-11-20-18::defaced_2021-04-24-11-20-18_frame_000156,defaced_2021-04-24-11-20-18_frame_000156,defaced_2021-04-24-11-20-18_frame_000160,1619256030.010507,1619256030.2988803,,defaced_2021-04-24-11-20-18_frame_000013,1619256019.1224778,potentially_unsafe,0.1403136130001667,10.888029336929321,0.8403136130001667,qwen/appfr/h02/qwen_defaced_2021-04-24-11-20-18_appfr_h02.csv,2,2.8403136130001667,too_early
qwen,appfr,H02,2,crowdbot,defaced_2021-04-24-11-20-18,crowdbot__defaced_2021-04-24-11-20-18,0,crowdbot__defaced_2021-04-24-11-20-18::defaced_2021-04-24-11-20-18_frame_000156,defaced_2021-04-24-11-20-18_frame_000156,defaced_2021-04-24-11-20-18_frame_000160,1619256030.010507,1619256030.2988803,,defaced_2021-04-24-11-20-18_frame_000013,1619256019.1224778,potentially_unsafe,0.1403136130001667,10.888029336929321,0.8403136130001667,qwen/appfr/h02/qwen_defaced_2021-04-24-11-20-18_appfr_h02.csv,3,3.8403136130001667,too_early
qwen,appfr,H02,2,crowdbot,defaced_2021-04-24-11-20-18,crowdbot__defaced_2021-04-24-11-20-18,0,crowdbot__defaced_2021-04-24-11-20-18::defaced_2021-04-24-11-20-18_frame_000156,defaced_2021-04-24-11-20-18_frame_000156,defaced_2021-04-24-11-20-18_frame_000160,1619256030.010507,1619256030.2988803,,defaced_2021-04-24-11-20-18_frame_000013,1619256019.1224778,potentially_unsafe,0.1403136130001667,10.888029336929321,0.8403136130001667,qwen/appfr/h02/qwen_defaced_2021-04-24-11-20-18_appfr_h02.csv,4,4.840313613000166,too_early
qwen,appfr,H02,2,crowdbot,defaced_2021-04-24-11-20-18,crowdbot__defaced_2021-04-24-11-20-18,0,crowdbot__defaced_2021-04-24-11-20-18::defaced_2021-04-24-11-20-18_frame_000156,defaced_2021-04-24-11-20-18_frame_000156,defaced_2021-04-24-11-20-18_frame_000160,1619256030.010507,1619256030.2988803,,defaced_2021-04-24-11-20-18_frame_000013,1619256019.1224778,potentially_unsafe,0.1403136130001667,10.888029336929321,0.8403136130001667,qwen/appfr/h02/qwen_defaced_2021-04-24-11-20-18_appfr_h02.csv,5,5.840313613000166,too_early
qwen,appfr,H02,2,crowdbot,defaced_2021-04-24-11-20-18,crowdbot__defaced_2021-04-24-11-20-18,1,crowdbot__defaced_2021-04-24-11-20-18::defaced_2021-04-24-11-20-18_frame_000472,defaced_2021-04-24-11-20-18_frame_000472,defaced_2021-04-24-11-20-18_frame_000483,1619256054.1597729,1619256054.9489992,1619256030.2988803,defaced_2021-04-24-11-20-18_frame_000161,1619256030.4325607,potentially_unsafe,0.1628870491246723,23.72721219062805,0.8628870491246723,qwen/appfr/h02/qwen_defaced_2021-04-24-11-20-18_appfr_h02.csv,1,1.8628870491246723,too_early
qwen,appfr,H02,2,crowdbot,defaced_2021-04-24-11-20-18,crowdbot__defaced_2021-04-24-11-20-18,1,crowdbot__defaced_2021-04-24-11-20-18::defaced_2021-04-24-11-20-18_frame_000472,defaced_2021-04-24-11-20-18_frame_000472,defaced_2021-04-24-11-20-18_frame_000483,1619256054.1597729,1619256054.9489992,1619256030.2988803,defaced_2021-04-24-11-20-18_frame_000161,1619256030.4325607,potentially_unsafe,0.1628870491246723,23.72721219062805,0.8628870491246723,qwen/appfr/h02/qwen_defaced_2021-04-24-11-20-18_appfr_h02.csv,2,2.862887049124672,too_early
qwen,appfr,H02,2,crowdbot,defaced_2021-04-24-11-20-18,crowdbot__defaced_2021-04-24-11-20-18,1,crowdbot__defaced_2021-04-24-11-20-18::defaced_2021-04-24-11-20-18_frame_000472,defaced_2021-04-24-11-20-18_frame_000472,defaced_2021-04-24-11-20-18_frame_000483,1619256054.1597729,1619256054.9489992,1619256030.2988803,defaced_2021-04-24-11-20-18_frame_000161,1619256030.4325607,potentially_unsafe,0.1628870491246723,23.72721219062805,0.8628870491246723,qwen/appfr/h02/qwen_defaced_2021-04-24-11-20-18_appfr_h02.csv,3,3.862887049124672,too_early
qwen,appfr,H02,2,crowdbot,defaced_2021-04-24-11-20-18,crowdbot__defaced_2021-04-24-11-20-18,1,crowdbot__defaced_2021-04-24-11-20-18::defaced_2021-04-24-11-20-18_frame_000472,defaced_2021-04-24-11-20-18_frame_000472,defaced_2021-04-24-11-20-18_frame_000483,1619256054.1597729,1619256054.9489992,1619256030.2988803,defaced_2021-04-24-11-20-18_frame_000161,1619256030.4325607,potentially_unsafe,0.1628870491246723,23.72721219062805,0.8628870491246723,qwen/appfr/h02/qwen_defaced_2021-04-24-11-20-18_appfr_h02.csv,4,4.862887049124672,too_early
qwen,appfr,H02,2,crowdbot,defaced_2021-04-24-11-20-18,crowdbot__defaced_2021-04-24-11-20-18,1,crowdbot__defaced_2021-04-24-11-20-18::defaced_2021-04-24-11-20-18_frame_000472,defaced_2021-04-24-11-20-18_frame_000472,defaced_2021-04-24-11-20-18_frame_000483,1619256054.1597729,1619256054.9489992,1619256030.2988803,defaced_2021-04-24-11-20-18_frame_000161,1619256030.4325607,potentially_unsafe,0.1628870491246723,23.72721219062805,0.8628870491246723,qwen/appfr/h02/qwen_defaced_2021-04-24-11-20-18_appfr_h02.csv,5,5.862887049124672,too_early
qwen,appfr,H02,2,crowdbot,defaced_2021-04-24-11-20-18,crowdbot__defaced_2021-04-24-11-20-18,2,crowdbot__defaced_2021-04-24-11-20-18::defaced_2021-04-24-11-20-18_frame_000918,defaced_2021-04-24-11-20-18_frame_000918,defaced_2021-04-24-11-20-18_frame_000931,1619256089.364324,1619256090.611847,1619256054.9489992,defaced_2021-04-24-11-20-18_frame_000484,1619256055.174059,potentially_unsafe,0.4169133342014138,34.19026517868042,1.116913334201414,qwen/appfr/h02/qwen_defaced_2021-04-24-11-20-18_appfr_h02.csv,1,2.116913334201414,too_early
qwen,appfr,H02,2,crowdbot,defaced_2021-04-24-11-20-18,crowdbot__defaced_2021-04-24-11-20-18,2,crowdbot__defaced_2021-04-24-11-20-18::defaced_2021-04-24-11-20-18_frame_000918,defaced_2021-04-24-11-20-18_frame_000918,defaced_2021-04-24-11-20-18_frame_000931,1619256089.364324,1619256090.611847,1619256054.9489992,defaced_2021-04-24-11-20-18_frame_000484,1619256055.174059,potentially_unsafe,0.4169133342014138,34.19026517868042,1.116913334201414,qwen/appfr/h02/qwen_defaced_2021-04-24-11-20-18_appfr_h02.csv,2,3.116913334201414,too_early
qwen,appfr,H02,2,crowdbot,defaced_2021-04-24-11-20-18,crowdbot__defaced_2021-04-24-11-20-18,2,crowdbot__defaced_2021-04-24-11-20-18::defaced_2021-04-24-11-20-18_frame_000918,defaced_2021-04-24-11-20-18_frame_000918,defaced_2021-04-24-11-20-18_frame_000931,1619256089.364324,1619256090.611847,1619256054.9489992,defaced_2021-04-24-11-20-18_frame_000484,1619256055.174059,potentially_unsafe,0.4169133342014138,34.19026517868042,1.116913334201414,qwen/appfr/h02/qwen_defaced_2021-04-24-11-20-18_appfr_h02.csv,3,4.1169133342014135,too_early
qwen,appfr,H02,2,crowdbot,defaced_2021-04-24-11-20-18,crowdbot__defaced_2021-04-24-11-20-18,2,crowdbot__defaced_2021-04-24-11-20-18::defaced_2021-04-24-11-20-18_frame_000918,defaced_2021-04-24-11-20-18_frame_000918,defaced_2021-04-24-11-20-18_frame_000931,1619256089.364324,1619256090.611847,1619256054.9489992,defaced_2021-04-24-11-20-18_frame_000484,1619256055.174059,potentially_unsafe,0.4169133342014138,34.19026517868042,1.116913334201414,qwen/appfr/h02/qwen_defaced_2021-04-24-11-20-18_appfr_h02.csv,4,5.1169133342014135,too_early
