model,approach,allowed_interval_s,history,history_frames,actionable,actionable_rate,actionable_result,missed,too_late,too_early
internvl,appfr,1,H02,2,9,0.10465116279069768,9/86 (10.47%; 95% CI 5.60–18.71%),7,11,59
internvl,appfr,2,H02,2,11,0.12790697674418605,11/86 (12.79%; 95% CI 7.29–21.47%),7,11,57
internvl,appfr,2,H32,32,11,0.12790697674418605,11/86 (12.79%; 95% CI 7.29–21.47%),2,16,57
internvl,appfr,3,H02,2,14,0.16279069767441862,14/86 (16.28%; 95% CI 9.95–25.49%),7,11,54
internvl,appfr,3,H06,6,14,0.16279069767441862,14/86 (16.28%; 95% CI 9.95–25.49%),2,15,55
internvl,appfr,3,H08,8,14,0.16279069767441862,14/86 (16.28%; 95% CI 9.95–25.49%),3,14,55
internvl,appfr,3,H10,10,14,0.16279069767441862,14/86 (16.28%; 95% CI 9.95–25.49%),1,16,55
internvl,appfr,3,H12,12,14,0.16279069767441862,14/86 (16.28%; 95% CI 9.95–25.49%),1,16,55
internvl,appfr,3,H18,18,14,0.16279069767441862,14/86 (16.28%; 95% CI 9.95–25.49%),2,15,55
internvl,appfr,3,H20,20,14,0.16279069767441862,14/86 (16.28%; 95% CI 9.95–25.49%),2,15,55
internvl,appfr,3,H22,22,14,0.16279069767441862,14/86 (16.28%; 95% CI 9.95–25.49%),2,15,55
internvl,appfr,4,H02,2,16,0.18604651162790697,16/86 (18.60%; 95% CI 11.79–28.11%),7,11,52
internvl,appfr,4,H06,6,16,0.18604651162790697,16/86 (18.60%; 95% CI 11.79–28.11%),2,15,53
internvl,appfr,4,H08,8,16,0.18604651162790697,16/86 (18.60%; 95% CI 11.79–28.11%),3,14,53
internvl,appfr,4,H10,10,16,0.18604651162790697,16/86 (18.60%; 95% CI 11.79–28.11%),1,16,53
internvl,appfr,4,H12,12,16,0.18604651162790697,16/86 (18.60%; 95% CI 11.79–28.11%),1,16,53
internvl,appfr,4,H18,18,16,0.18604651162790697,16/86 (18.60%; 95% CI 11.79–28.11%),2,15,53
internvl,appfr,4,H20,20,16,0.18604651162790697,16/86 (18.60%; 95% CI 11.79–28.11%),2,15,53
internvl,appfr,4,H22,22,16,0.18604651162790697,16/86 (18.60%; 95% CI 11.79–28.11%),2,15,53
internvl,appfr,5,H02,2,19,0.22093023255813954,19/86 (22.09%; 95% CI 14.62–31.95%),7,11,49
internvl,appod,1,H14,14,7,0.08139534883720931,7/86 (8.14%; 95% CI 4.00–15.86%),8,12,59
internvl,appod,1,H22,22,7,0.08139534883720931,7/86 (8.14%; 95% CI 4.00–15.86%),3,15,61
internvl,appod,1,H24,24,7,0.08139534883720931,7/86 (8.14%; 95% CI 4.00–15.86%),3,15,61
internvl,appod,2,H06,6,10,0.11627906976744186,10/86 (11.63%; 95% CI 6.44–20.10%),3,14,59
internvl,appod,2,H10,10,10,0.11627906976744186,10/86 (11.63%; 95% CI 6.44–20.10%),5,12,59
internvl,appod,2,H12,12,10,0.11627906976744186,10/86 (11.63%; 95% CI 6.44–20.10%),3,15,58
internvl,appod,2,H20,20,10,0.11627906976744186,10/86 (11.63%; 95% CI 6.44–20.10%),3,15,58
internvl,appod,2,H22,22,10,0.11627906976744186,10/86 (11.63%; 95% CI 6.44–20.10%),3,15,58
internvl,appod,2,H24,24,10,0.11627906976744186,10/86 (11.63%; 95% CI 6.44–20.10%),3,15,58
