Allowed interval,A = 1 s,A = 1 s,A = 2 s,A = 2 s,A = 3 s,A = 3 s,A = 4 s,A = 4 s,A = 5 s,A = 5 s
Approach,AppFr,AppOd,AppFr,AppOd,AppFr,AppOd,AppFr,AppOd,AppFr,AppOd
History,,,,,,,,,,
H02,59/86 (68.60%),62/86 (72.09%),57/86 (66.28%),59/86 (68.60%),54/86 (62.79%),54/86 (62.79%),52/86 (60.47%),53/86 (61.63%),49/86 (56.98%),51/86 (59.30%)
H04,58/86 (67.44%),62/86 (72.09%),54/86 (62.79%),60/86 (69.77%),52/86 (60.47%),55/86 (63.95%),51/86 (59.30%),53/86 (61.63%),47/86 (54.65%),50/86 (58.14%)
H06,63/86 (73.26%),63/86 (73.26%),59/86 (68.60%),59/86 (68.60%),55/86 (63.95%),55/86 (63.95%),53/86 (61.63%),53/86 (61.63%),51/86 (59.30%),51/86 (59.30%)
H08,63/86 (73.26%),63/86 (73.26%),59/86 (68.60%),59/86 (68.60%),55/86 (63.95%),55/86 (63.95%),53/86 (61.63%),53/86 (61.63%),51/86 (59.30%),51/86 (59.30%)
H10,63/86 (73.26%),63/86 (73.26%),59/86 (68.60%),59/86 (68.60%),55/86 (63.95%),55/86 (63.95%),53/86 (61.63%),53/86 (61.63%),51/86 (59.30%),51/86 (59.30%)
H12,63/86 (73.26%),63/86 (73.26%),59/86 (68.60%),58/86 (67.44%),55/86 (63.95%),55/86 (63.95%),53/86 (61.63%),53/86 (61.63%),51/86 (59.30%),51/86 (59.30%)
H14,58/86 (67.44%),59/86 (68.60%),55/86 (63.95%),57/86 (66.28%),53/86 (61.63%),53/86 (61.63%),51/86 (59.30%),52/86 (60.47%),49/86 (56.98%),50/86 (58.14%)
H16,58/86 (67.44%),61/86 (70.93%),55/86 (63.95%),58/86 (67.44%),53/86 (61.63%),54/86 (62.79%),51/86 (59.30%),53/86 (61.63%),49/86 (56.98%),50/86 (58.14%)
H18,63/86 (73.26%),62/86 (72.09%),59/86 (68.60%),59/86 (68.60%),55/86 (63.95%),54/86 (62.79%),53/86 (61.63%),53/86 (61.63%),51/86 (59.30%),51/86 (59.30%)
H20,63/86 (73.26%),62/86 (72.09%),59/86 (68.60%),58/86 (67.44%),55/86 (63.95%),55/86 (63.95%),53/86 (61.63%),53/86 (61.63%),51/86 (59.30%),51/86 (59.30%)
H22,62/86 (72.09%),61/86 (70.93%),59/86 (68.60%),58/86 (67.44%),55/86 (63.95%),54/86 (62.79%),53/86 (61.63%),53/86 (61.63%),51/86 (59.30%),51/86 (59.30%)
H24,63/86 (73.26%),61/86 (70.93%),59/86 (68.60%),58/86 (67.44%),55/86 (63.95%),55/86 (63.95%),53/86 (61.63%),53/86 (61.63%),51/86 (59.30%),51/86 (59.30%)
H26,63/86 (73.26%),63/86 (73.26%),60/86 (69.77%),60/86 (69.77%),55/86 (63.95%),55/86 (63.95%),53/86 (61.63%),53/86 (61.63%),51/86 (59.30%),51/86 (59.30%)
H28,63/86 (73.26%),63/86 (73.26%),60/86 (69.77%),60/86 (69.77%),55/86 (63.95%),55/86 (63.95%),53/86 (61.63%),53/86 (61.63%),51/86 (59.30%),51/86 (59.30%)
H30,63/86 (73.26%),63/86 (73.26%),60/86 (69.77%),60/86 (69.77%),55/86 (63.95%),55/86 (63.95%),53/86 (61.63%),53/86 (61.63%),51/86 (59.30%),51/86 (59.30%)
H32,62/86 (72.09%),63/86 (73.26%),57/86 (66.28%),60/86 (69.77%),55/86 (63.95%),55/86 (63.95%),53/86 (61.63%),53/86 (61.63%),51/86 (59.30%),51/86 (59.30%)
