model,approach,history,history_frames,warning_result,missed_result,too_late_result
internvl,appfr,H02,2,79/86 (91.86%; 95% CI 84.14–96.00%),7/86 (8.14%; 95% CI 4.00–15.86%),11/86 (12.79%; 95% CI 7.29–21.47%)
internvl,appfr,H04,4,74/86 (86.05%; 95% CI 77.18–91.83%),12/86 (13.95%; 95% CI 8.17–22.82%),12/86 (13.95%; 95% CI 8.17–22.82%)
internvl,appfr,H06,6,84/86 (97.67%; 95% CI 91.91–99.36%),2/86 (2.33%; 95% CI 0.64–8.09%),15/86 (17.44%; 95% CI 10.86–26.80%)
internvl,appfr,H08,8,83/86 (96.51%; 95% CI 90.24–98.81%),3/86 (3.49%; 95% CI 1.19–9.76%),14/86 (16.28%; 95% CI 9.95–25.49%)
internvl,appfr,H10,10,85/86 (98.84%; 95% CI 93.70–99.79%),1/86 (1.16%; 95% CI 0.21–6.30%),16/86 (18.60%; 95% CI 11.79–28.11%)
internvl,appfr,H12,12,85/86 (98.84%; 95% CI 93.70–99.79%),1/86 (1.16%; 95% CI 0.21–6.30%),16/86 (18.60%; 95% CI 11.79–28.11%)
internvl,appfr,H14,14,77/86 (89.53%; 95% CI 81.29–94.40%),9/86 (10.47%; 95% CI 5.60–18.71%),14/86 (16.28%; 95% CI 9.95–25.49%)
internvl,appfr,H16,16,76/86 (88.37%; 95% CI 79.90–93.56%),10/86 (11.63%; 95% CI 6.44–20.10%),13/86 (15.12%; 95% CI 9.05–24.16%)
internvl,appfr,H18,18,84/86 (97.67%; 95% CI 91.91–99.36%),2/86 (2.33%; 95% CI 0.64–8.09%),15/86 (17.44%; 95% CI 10.86–26.80%)
internvl,appfr,H20,20,84/86 (97.67%; 95% CI 91.91–99.36%),2/86 (2.33%; 95% CI 0.64–8.09%),15/86 (17.44%; 95% CI 10.86–26.80%)
internvl,appfr,H22,22,84/86 (97.67%; 95% CI 91.91–99.36%),2/86 (2.33%; 95% CI 0.64–8.09%),15/86 (17.44%; 95% CI 10.86–26.80%)
internvl,appfr,H24,24,84/86 (97.67%; 95% CI 91.91–99.36%),2/86 (2.33%; 95% CI 0.64–8.09%),16/86 (18.60%; 95% CI 11.79–28.11%)
internvl,appfr,H26,26,85/86 (98.84%; 95% CI 93.70–99.79%),1/86 (1.16%; 95% CI 0.21–6.30%),17/86 (19.77%; 95% CI 12.72–29.40%)
internvl,appfr,H28,28,85/86 (98.84%; 95% CI 93.70–99.79%),1/86 (1.16%; 95% CI 0.21–6.30%),17/86 (19.77%; 95% CI 12.72–29.40%)
internvl,appfr,H30,30,83/86 (96.51%; 95% CI 90.24–98.81%),3/86 (3.49%; 95% CI 1.19–9.76%),15/86 (17.44%; 95% CI 10.86–26.80%)
internvl,appfr,H32,32,84/86 (97.67%; 95% CI 91.91–99.36%),2/86 (2.33%; 95% CI 0.64–8.09%),16/86 (18.60%; 95% CI 11.79–28.11%)
internvl,appod,H02,2,79/86 (91.86%; 95% CI 84.14–96.00%),7/86 (8.14%; 95% CI 4.00–15.86%),11/86 (12.79%; 95% CI 7.29–21.47%)
internvl,appod,H04,4,80/86 (93.02%; 95% CI 85.60–96.76%),6/86 (6.98%; 95% CI 3.24–14.40%),12/86 (13.95%; 95% CI 8.17–22.82%)
internvl,appod,H06,6,83/86 (96.51%; 95% CI 90.24–98.81%),3/86 (3.49%; 95% CI 1.19–9.76%),14/86 (16.28%; 95% CI 9.95–25.49%)
internvl,appod,H08,8,83/86 (96.51%; 95% CI 90.24–98.81%),3/86 (3.49%; 95% CI 1.19–9.76%),15/86 (17.44%; 95% CI 10.86–26.80%)
internvl,appod,H10,10,81/86 (94.19%; 95% CI 87.10–97.49%),5/86 (5.81%; 95% CI 2.51–12.90%),12/86 (13.95%; 95% CI 8.17–22.82%)
internvl,appod,H12,12,83/86 (96.51%; 95% CI 90.24–98.81%),3/86 (3.49%; 95% CI 1.19–9.76%),15/86 (17.44%; 95% CI 10.86–26.80%)
internvl,appod,H14,14,78/86 (90.70%; 95% CI 82.70–95.21%),8/86 (9.30%; 95% CI 4.79–17.30%),12/86 (13.95%; 95% CI 8.17–22.82%)
internvl,appod,H16,16,77/86 (89.53%; 95% CI 81.29–94.40%),9/86 (10.47%; 95% CI 5.60–18.71%),11/86 (12.79%; 95% CI 7.29–21.47%)
internvl,appod,H18,18,83/86 (96.51%; 95% CI 90.24–98.81%),3/86 (3.49%; 95% CI 1.19–9.76%),15/86 (17.44%; 95% CI 10.86–26.80%)
internvl,appod,H20,20,83/86 (96.51%; 95% CI 90.24–98.81%),3/86 (3.49%; 95% CI 1.19–9.76%),15/86 (17.44%; 95% CI 10.86–26.80%)
internvl,appod,H22,22,83/86 (96.51%; 95% CI 90.24–98.81%),3/86 (3.49%; 95% CI 1.19–9.76%),15/86 (17.44%; 95% CI 10.86–26.80%)
internvl,appod,H24,24,83/86 (96.51%; 95% CI 90.24–98.81%),3/86 (3.49%; 95% CI 1.19–9.76%),15/86 (17.44%; 95% CI 10.86–26.80%)
internvl,appod,H26,26,83/86 (96.51%; 95% CI 90.24–98.81%),3/86 (3.49%; 95% CI 1.19–9.76%),15/86 (17.44%; 95% CI 10.86–26.80%)
internvl,appod,H28,28,83/86 (96.51%; 95% CI 90.24–98.81%),3/86 (3.49%; 95% CI 1.19–9.76%),15/86 (17.44%; 95% CI 10.86–26.80%)
internvl,appod,H30,30,84/86 (97.67%; 95% CI 91.91–99.36%),2/86 (2.33%; 95% CI 0.64–8.09%),16/86 (18.60%; 95% CI 11.79–28.11%)
internvl,appod,H32,32,84/86 (97.67%; 95% CI 91.91–99.36%),2/86 (2.33%; 95% CI 0.64–8.09%),16/86 (18.60%; 95% CI 11.79–28.11%)
llava,appfr,H02,2,84/86 (97.67%; 95% CI 91.91–99.36%),2/86 (2.33%; 95% CI 0.64–8.09%),16/86 (18.60%; 95% CI 11.79–28.11%)
llava,appfr,H04,4,76/86 (88.37%; 95% CI 79.90–93.56%),10/86 (11.63%; 95% CI 6.44–20.10%),11/86 (12.79%; 95% CI 7.29–21.47%)
llava,appfr,H06,6,76/86 (88.37%; 95% CI 79.90–93.56%),10/86 (11.63%; 95% CI 6.44–20.10%),12/86 (13.95%; 95% CI 8.17–22.82%)
llava,appfr,H08,8,75/86 (87.21%; 95% CI 78.53–92.71%),11/86 (12.79%; 95% CI 7.29–21.47%),13/86 (15.12%; 95% CI 9.05–24.16%)
llava,appfr,H10,10,73/86 (84.88%; 95% CI 75.84–90.95%),13/86 (15.12%; 95% CI 9.05–24.16%),12/86 (13.95%; 95% CI 8.17–22.82%)
llava,appfr,H12,12,74/86 (86.05%; 95% CI 77.18–91.83%),12/86 (13.95%; 95% CI 8.17–22.82%),12/86 (13.95%; 95% CI 8.17–22.82%)
llava,appfr,H14,14,72/86 (83.72%; 95% CI 74.51–90.05%),14/86 (16.28%; 95% CI 9.95–25.49%),11/86 (12.79%; 95% CI 7.29–21.47%)
llava,appfr,H16,16,70/86 (81.40%; 95% CI 71.89–88.21%),16/86 (18.60%; 95% CI 11.79–28.11%),9/86 (10.47%; 95% CI 5.60–18.71%)
llava,appfr,H18,18,70/86 (81.40%; 95% CI 71.89–88.21%),16/86 (18.60%; 95% CI 11.79–28.11%),9/86 (10.47%; 95% CI 5.60–18.71%)
llava,appfr,H20,20,72/86 (83.72%; 95% CI 74.51–90.05%),14/86 (16.28%; 95% CI 9.95–25.49%),9/86 (10.47%; 95% CI 5.60–18.71%)
llava,appfr,H22,22,72/86 (83.72%; 95% CI 74.51–90.05%),14/86 (16.28%; 95% CI 9.95–25.49%),9/86 (10.47%; 95% CI 5.60–18.71%)
llava,appfr,H24,24,71/86 (82.56%; 95% CI 73.20–89.14%),15/86 (17.44%; 95% CI 10.86–26.80%),9/86 (10.47%; 95% CI 5.60–18.71%)
llava,appfr,H26,26,70/86 (81.40%; 95% CI 71.89–88.21%),16/86 (18.60%; 95% CI 11.79–28.11%),9/86 (10.47%; 95% CI 5.60–18.71%)
llava,appfr,H28,28,68/86 (79.07%; 95% CI 69.32–86.33%),18/86 (20.93%; 95% CI 13.67–30.68%),8/86 (9.30%; 95% CI 4.79–17.30%)
llava,appfr,H30,30,65/86 (75.58%; 95% CI 65.54–83.44%),21/86 (24.42%; 95% CI 16.56–34.46%),8/86 (9.30%; 95% CI 4.79–17.30%)
llava,appfr,H32,32,62/86 (72.09%; 95% CI 61.83–80.47%),24/86 (27.91%; 95% CI 19.53–38.17%),8/86 (9.30%; 95% CI 4.79–17.30%)
llava,appod,H02,2,82/86 (95.35%; 95% CI 88.64–98.18%),4/86 (4.65%; 95% CI 1.82–11.36%),14/86 (16.28%; 95% CI 9.95–25.49%)
llava,appod,H04,4,74/86 (86.05%; 95% CI 77.18–91.83%),12/86 (13.95%; 95% CI 8.17–22.82%),9/86 (10.47%; 95% CI 5.60–18.71%)
llava,appod,H06,6,73/86 (84.88%; 95% CI 75.84–90.95%),13/86 (15.12%; 95% CI 9.05–24.16%),8/86 (9.30%; 95% CI 4.79–17.30%)
llava,appod,H08,8,70/86 (81.40%; 95% CI 71.89–88.21%),16/86 (18.60%; 95% CI 11.79–28.11%),8/86 (9.30%; 95% CI 4.79–17.30%)
llava,appod,H10,10,72/86 (83.72%; 95% CI 74.51–90.05%),14/86 (16.28%; 95% CI 9.95–25.49%),9/86 (10.47%; 95% CI 5.60–18.71%)
llava,appod,H12,12,70/86 (81.40%; 95% CI 71.89–88.21%),16/86 (18.60%; 95% CI 11.79–28.11%),7/86 (8.14%; 95% CI 4.00–15.86%)
llava,appod,H14,14,72/86 (83.72%; 95% CI 74.51–90.05%),14/86 (16.28%; 95% CI 9.95–25.49%),10/86 (11.63%; 95% CI 6.44–20.10%)
llava,appod,H16,16,70/86 (81.40%; 95% CI 71.89–88.21%),16/86 (18.60%; 95% CI 11.79–28.11%),10/86 (11.63%; 95% CI 6.44–20.10%)
llava,appod,H18,18,72/86 (83.72%; 95% CI 74.51–90.05%),14/86 (16.28%; 95% CI 9.95–25.49%),9/86 (10.47%; 95% CI 5.60–18.71%)
llava,appod,H20,20,72/86 (83.72%; 95% CI 74.51–90.05%),14/86 (16.28%; 95% CI 9.95–25.49%),9/86 (10.47%; 95% CI 5.60–18.71%)
