Allowed interval,A = 1 s,A = 1 s,A = 2 s,A = 2 s,A = 3 s,A = 3 s,A = 4 s,A = 4 s,A = 5 s,A = 5 s
Approach,AppFr,AppOd,AppFr,AppOd,AppFr,AppOd,AppFr,AppOd,AppFr,AppOd
History,,,,,,,,,,
H02,5/86 (5.81%),5/86 (5.81%),8/86 (9.30%),8/86 (9.30%),12/86 (13.95%),14/86 (16.28%),15/86 (17.44%),16/86 (18.60%),16/86 (18.60%),17/86 (19.77%)
H04,4/86 (4.65%),3/86 (3.49%),7/86 (8.14%),6/86 (6.98%),10/86 (11.63%),12/86 (13.95%),13/86 (15.12%),13/86 (15.12%),14/86 (16.28%),14/86 (16.28%)
H06,4/86 (4.65%),4/86 (4.65%),7/86 (8.14%),9/86 (10.47%),10/86 (11.63%),13/86 (15.12%),12/86 (13.95%),14/86 (16.28%),14/86 (16.28%),15/86 (17.44%)
H08,3/86 (3.49%),3/86 (3.49%),6/86 (6.98%),7/86 (8.14%),9/86 (10.47%),9/86 (10.47%),11/86 (12.79%),11/86 (12.79%),13/86 (15.12%),13/86 (15.12%)
H10,2/86 (2.33%),3/86 (3.49%),6/86 (6.98%),7/86 (8.14%),8/86 (9.30%),11/86 (12.79%),10/86 (11.63%),12/86 (13.95%),12/86 (13.95%),14/86 (16.28%)
H12,3/86 (3.49%),2/86 (2.33%),6/86 (6.98%),6/86 (6.98%),8/86 (9.30%),11/86 (12.79%),11/86 (12.79%),12/86 (13.95%),13/86 (15.12%),14/86 (16.28%)
H14,2/86 (2.33%),2/86 (2.33%),5/86 (5.81%),5/86 (5.81%),8/86 (9.30%),10/86 (11.63%),10/86 (11.63%),11/86 (12.79%),12/86 (13.95%),13/86 (15.12%)
H16,2/86 (2.33%),2/86 (2.33%),6/86 (6.98%),6/86 (6.98%),9/86 (10.47%),9/86 (10.47%),11/86 (12.79%),9/86 (10.47%),13/86 (15.12%),11/86 (12.79%)
H18,3/86 (3.49%),2/86 (2.33%),6/86 (6.98%),5/86 (5.81%),9/86 (10.47%),10/86 (11.63%),11/86 (12.79%),11/86 (12.79%),13/86 (15.12%),12/86 (13.95%)
H20,2/86 (2.33%),2/86 (2.33%),6/86 (6.98%),6/86 (6.98%),10/86 (11.63%),11/86 (12.79%),12/86 (13.95%),11/86 (12.79%),13/86 (15.12%),12/86 (13.95%)
H22,4/86 (4.65%),3/86 (3.49%),6/86 (6.98%),7/86 (8.14%),11/86 (12.79%),12/86 (13.95%),12/86 (13.95%),12/86 (13.95%),13/86 (15.12%),13/86 (15.12%)
H24,2/86 (2.33%),3/86 (3.49%),6/86 (6.98%),6/86 (6.98%),10/86 (11.63%),11/86 (12.79%),11/86 (12.79%),11/86 (12.79%),12/86 (13.95%),12/86 (13.95%)
H26,3/86 (3.49%),2/86 (2.33%),7/86 (8.14%),5/86 (5.81%),10/86 (11.63%),10/86 (11.63%),11/86 (12.79%),10/86 (11.63%),12/86 (13.95%),11/86 (12.79%)
H28,2/86 (2.33%),3/86 (3.49%),6/86 (6.98%),7/86 (8.14%),9/86 (10.47%),11/86 (12.79%),10/86 (11.63%),11/86 (12.79%),11/86 (12.79%),12/86 (13.95%)
H30,3/86 (3.49%),3/86 (3.49%),6/86 (6.98%),7/86 (8.14%),8/86 (9.30%),10/86 (11.63%),8/86 (9.30%),10/86 (11.63%),10/86 (11.63%),11/86 (12.79%)
H32,2/86 (2.33%),3/86 (3.49%),5/86 (5.81%),8/86 (9.30%),7/86 (8.14%),10/86 (11.63%),7/86 (8.14%),10/86 (11.63%),9/86 (10.47%),11/86 (12.79%)
