,Qwen,Qwen,InternVL,InternVL,LLaVA,LLaVA
,AppFr,AppOd,AppFr,AppOd,AppFr,AppOd
History,,,,,,
H02,19/86 (22.09%),6/86 (6.98%),7/86 (8.14%),7/86 (8.14%),2/86 (2.33%),4/86 (4.65%)
H04,33/86 (38.37%),5/86 (5.81%),12/86 (13.95%),6/86 (6.98%),10/86 (11.63%),12/86 (13.95%)
H06,31/86 (36.05%),8/86 (9.30%),2/86 (2.33%),3/86 (3.49%),10/86 (11.63%),13/86 (15.12%)
H08,33/86 (38.37%),7/86 (8.14%),3/86 (3.49%),3/86 (3.49%),11/86 (12.79%),16/86 (18.60%)
H10,32/86 (37.21%),9/86 (10.47%),1/86 (1.16%),5/86 (5.81%),13/86 (15.12%),14/86 (16.28%)
H12,31/86 (36.05%),13/86 (15.12%),1/86 (1.16%),3/86 (3.49%),12/86 (13.95%),16/86 (18.60%)
H14,36/86 (41.86%),15/86 (17.44%),9/86 (10.47%),8/86 (9.30%),14/86 (16.28%),14/86 (16.28%)
H16,34/86 (39.53%),14/86 (16.28%),10/86 (11.63%),9/86 (10.47%),16/86 (18.60%),16/86 (18.60%)
H18,37/86 (43.02%),20/86 (23.26%),2/86 (2.33%),3/86 (3.49%),16/86 (18.60%),14/86 (16.28%)
H20,38/86 (44.19%),18/86 (20.93%),2/86 (2.33%),3/86 (3.49%),14/86 (16.28%),14/86 (16.28%)
H22,41/86 (47.67%),20/86 (23.26%),2/86 (2.33%),3/86 (3.49%),14/86 (16.28%),12/86 (13.95%)
H24,40/86 (46.51%),22/86 (25.58%),2/86 (2.33%),3/86 (3.49%),15/86 (17.44%),12/86 (13.95%)
H26,40/86 (46.51%),17/86 (19.77%),1/86 (1.16%),3/86 (3.49%),16/86 (18.60%),13/86 (15.12%)
H28,42/86 (48.84%),18/86 (20.93%),1/86 (1.16%),3/86 (3.49%),18/86 (20.93%),15/86 (17.44%)
H30,42/86 (48.84%),17/86 (19.77%),3/86 (3.49%),2/86 (2.33%),21/86 (24.42%),16/86 (18.60%)
H32,47/86 (54.65%),20/86 (23.26%),2/86 (2.33%),2/86 (2.33%),24/86 (27.91%),17/86 (19.77%)
