model,approach,history,history_frames,allowed_interval_s,actionable,missed,too_early,too_late,total_events,warning,missed_rate,missed_lower,missed_upper,missed_result,too_late_rate,too_late_lower,too_late_upper,too_late_result,actionable_rate,actionable_lower,actionable_upper,actionable_result,too_early_rate,too_early_lower,too_early_upper,too_early_result,warning_rate,warning_lower,warning_upper,warning_result
internvl,appfr,H02,2,1,9,7,59,11,86,79,0.08139534883720931,0.03998643153878242,0.15860182665393202,7/86 (8.14%; 95% CI 4.00–15.86%),0.12790697674418605,0.07294621791742709,0.21468778936498575,11/86 (12.79%; 95% CI 7.29–21.47%),0.10465116279069768,0.056040897145363075,0.18707023559220054,9/86 (10.47%; 95% CI 5.60–18.71%),0.686046511627907,0.5817959683851581,0.7743870279736356,59/86 (68.60%; 95% CI 58.18–77.44%),0.9186046511627907,0.8413981733460679,0.9600135684612175,79/86 (91.86%; 95% CI 84.14–96.00%)
internvl,appfr,H02,2,2,11,7,57,11,86,79,0.08139534883720931,0.03998643153878242,0.15860182665393202,7/86 (8.14%; 95% CI 4.00–15.86%),0.12790697674418605,0.07294621791742709,0.21468778936498575,11/86 (12.79%; 95% CI 7.29–21.47%),0.12790697674418605,0.07294621791742709,0.21468778936498575,11/86 (12.79%; 95% CI 7.29–21.47%),0.6627906976744186,0.557825607589722,0.7538345142242223,57/86 (66.28%; 95% CI 55.78–75.38%),0.9186046511627907,0.8413981733460679,0.9600135684612175,79/86 (91.86%; 95% CI 84.14–96.00%)
internvl,appfr,H02,2,3,14,7,54,11,86,79,0.08139534883720931,0.03998643153878242,0.15860182665393202,7/86 (8.14%; 95% CI 4.00–15.86%),0.12790697674418605,0.07294621791742709,0.21468778936498575,11/86 (12.79%; 95% CI 7.29–21.47%),0.16279069767441862,0.09952131046989598,0.25489700862979064,14/86 (16.28%; 95% CI 9.95–25.49%),0.627906976744186,0.5223383164148251,0.7225374935818455,54/86 (62.79%; 95% CI 52.23–72.25%),0.9186046511627907,0.8413981733460679,0.9600135684612175,79/86 (91.86%; 95% CI 84.14–96.00%)
internvl,appfr,H02,2,4,16,7,52,11,86,79,0.08139534883720931,0.03998643153878242,0.15860182665393202,7/86 (8.14%; 95% CI 4.00–15.86%),0.12790697674418605,0.07294621791742709,0.21468778936498575,11/86 (12.79%; 95% CI 7.29–21.47%),0.18604651162790697,0.11789108340273816,0.2810501102417977,16/86 (18.60%; 95% CI 11.79–28.11%),0.6046511627906976,0.4989772079672809,0.7013757274845405,52/86 (60.47%; 95% CI 49.90–70.14%),0.9186046511627907,0.8413981733460679,0.9600135684612175,79/86 (91.86%; 95% CI 84.14–96.00%)
internvl,appfr,H02,2,5,19,7,49,11,86,79,0.08139534883720931,0.03998643153878242,0.15860182665393202,7/86 (8.14%; 95% CI 4.00–15.86%),0.12790697674418605,0.07294621791742709,0.21468778936498575,11/86 (12.79%; 95% CI 7.29–21.47%),0.22093023255813954,0.14624907754332203,0.3194764279184876,19/86 (22.09%; 95% CI 14.62–31.95%),0.5697674418604651,0.46436203379906343,0.6692065898354842,49/86 (56.98%; 95% CI 46.44–66.92%),0.9186046511627907,0.8413981733460679,0.9600135684612175,79/86 (91.86%; 95% CI 84.14–96.00%)
internvl,appfr,H04,4,1,4,12,58,12,86,74,0.13953488372093023,0.08165847155571476,0.22823697299912266,12/86 (13.95%; 95% CI 8.17–22.82%),0.13953488372093023,0.08165847155571476,0.22823697299912266,12/86 (13.95%; 95% CI 8.17–22.82%),0.046511627906976744,0.01823396823832083,0.1135699781371198,4/86 (4.65%; 95% CI 1.82–11.36%),0.6744186046511628,0.569778553659483,0.7641430054268858,58/86 (67.44%; 95% CI 56.98–76.41%),0.8604651162790697,0.7717630270008773,0.9183415284442853,74/86 (86.05%; 95% CI 77.18–91.83%)
internvl,appfr,H04,4,2,8,12,54,12,86,74,0.13953488372093023,0.08165847155571476,0.22823697299912266,12/86 (13.95%; 95% CI 8.17–22.82%),0.13953488372093023,0.08165847155571476,0.22823697299912266,12/86 (13.95%; 95% CI 8.17–22.82%),0.09302325581395349,0.04789228421527053,0.1729574112498685,8/86 (9.30%; 95% CI 4.79–17.30%),0.627906976744186,0.5223383164148251,0.7225374935818455,54/86 (62.79%; 95% CI 52.23–72.25%),0.8604651162790697,0.7717630270008773,0.9183415284442853,74/86 (86.05%; 95% CI 77.18–91.83%)
internvl,appfr,H04,4,3,10,12,52,12,86,74,0.13953488372093023,0.08165847155571476,0.22823697299912266,12/86 (13.95%; 95% CI 8.17–22.82%),0.13953488372093023,0.08165847155571476,0.22823697299912266,12/86 (13.95%; 95% CI 8.17–22.82%),0.11627906976744186,0.06440045821928717,0.20097211179070104,10/86 (11.63%; 95% CI 6.44–20.10%),0.6046511627906976,0.4989772079672809,0.7013757274845405,52/86 (60.47%; 95% CI 49.90–70.14%),0.8604651162790697,0.7717630270008773,0.9183415284442853,74/86 (86.05%; 95% CI 77.18–91.83%)
internvl,appfr,H04,4,4,11,12,51,12,86,74,0.13953488372093023,0.08165847155571476,0.22823697299912266,12/86 (13.95%; 95% CI 8.17–22.82%),0.13953488372093023,0.08165847155571476,0.22823697299912266,12/86 (13.95%; 95% CI 8.17–22.82%),0.12790697674418605,0.07294621791742709,0.21468778936498575,11/86 (12.79%; 95% CI 7.29–21.47%),0.5930232558139535,0.487382730957907,0.6907087672214898,51/86 (59.30%; 95% CI 48.74–69.07%),0.8604651162790697,0.7717630270008773,0.9183415284442853,74/86 (86.05%; 95% CI 77.18–91.83%)
internvl,appfr,H04,4,5,15,12,47,12,86,74,0.13953488372093023,0.08165847155571476,0.22823697299912266,12/86 (13.95%; 95% CI 8.17–22.82%),0.13953488372093023,0.08165847155571476,0.22823697299912266,12/86 (13.95%; 95% CI 8.17–22.82%),0.1744186046511628,0.10864769842075103,0.2680320579513602,15/86 (17.44%; 95% CI 10.86–26.80%),0.5465116279069767,0.4415616959142949,0.6474840531754034,47/86 (54.65%; 95% CI 44.16–64.75%),0.8604651162790697,0.7717630270008773,0.9183415284442853,74/86 (86.05%; 95% CI 77.18–91.83%)
internvl,appfr,H06,6,1,6,2,63,15,86,84,0.023255813953488372,0.0064009262042708515,0.08088014562632057,2/86 (2.33%; 95% CI 0.64–8.09%),0.1744186046511628,0.10864769842075103,0.2680320579513602,15/86 (17.44%; 95% CI 10.86–26.80%),0.06976744186046512,0.032365414509921336,0.14396140641036848,6/86 (6.98%; 95% CI 3.24–14.40%),0.7325581395348837,0.6305495916710698,0.8146791537774222,63/86 (73.26%; 95% CI 63.05–81.47%),0.9767441860465116,0.9191198543736794,0.9935990737957292,84/86 (97.67%; 95% CI 91.91–99.36%)
