Allowed interval,A = 1 s,A = 1 s,A = 2 s,A = 2 s,A = 3 s,A = 3 s,A = 4 s,A = 4 s,A = 5 s,A = 5 s
Approach,AppFr,AppOd,AppFr,AppOd,AppFr,AppOd,AppFr,AppOd,AppFr,AppOd
History,,,,,,,,,,
H02,54/86 (62.79%),61/86 (70.93%),51/86 (59.30%),57/86 (66.28%),48/86 (55.81%),53/86 (61.63%),46/86 (53.49%),52/86 (60.47%),44/86 (51.16%),51/86 (59.30%)
H04,46/86 (53.49%),61/86 (70.93%),44/86 (51.16%),56/86 (65.12%),42/86 (48.84%),54/86 (62.79%),40/86 (46.51%),52/86 (60.47%),40/86 (46.51%),51/86 (59.30%)
H06,43/86 (50.00%),59/86 (68.60%),41/86 (47.67%),56/86 (65.12%),39/86 (45.35%),54/86 (62.79%),37/86 (43.02%),52/86 (60.47%),36/86 (41.86%),51/86 (59.30%)
H08,44/86 (51.16%),58/86 (67.44%),41/86 (47.67%),56/86 (65.12%),40/86 (46.51%),54/86 (62.79%),39/86 (45.35%),52/86 (60.47%),38/86 (44.19%),51/86 (59.30%)
H10,42/86 (48.84%),59/86 (68.60%),41/86 (47.67%),55/86 (63.95%),38/86 (44.19%),54/86 (62.79%),37/86 (43.02%),52/86 (60.47%),36/86 (41.86%),49/86 (56.98%)
H12,42/86 (48.84%),58/86 (67.44%),39/86 (45.35%),54/86 (62.79%),38/86 (44.19%),52/86 (60.47%),36/86 (41.86%),51/86 (59.30%),36/86 (41.86%),49/86 (56.98%)
H14,40/86 (46.51%),57/86 (66.28%),39/86 (45.35%),56/86 (65.12%),36/86 (41.86%),53/86 (61.63%),34/86 (39.53%),50/86 (58.14%),34/86 (39.53%),49/86 (56.98%)
H16,39/86 (45.35%),54/86 (62.79%),38/86 (44.19%),52/86 (60.47%),35/86 (40.70%),50/86 (58.14%),33/86 (38.37%),46/86 (53.49%),33/86 (38.37%),46/86 (53.49%)
H18,37/86 (43.02%),53/86 (61.63%),36/86 (41.86%),51/86 (59.30%),34/86 (39.53%),47/86 (54.65%),33/86 (38.37%),44/86 (51.16%),33/86 (38.37%),44/86 (51.16%)
H20,36/86 (41.86%),54/86 (62.79%),36/86 (41.86%),53/86 (61.63%),33/86 (38.37%),50/86 (58.14%),32/86 (37.21%),47/86 (54.65%),32/86 (37.21%),46/86 (53.49%)
H22,35/86 (40.70%),53/86 (61.63%),34/86 (39.53%),51/86 (59.30%),31/86 (36.05%),48/86 (55.81%),30/86 (34.88%),44/86 (51.16%),30/86 (34.88%),44/86 (51.16%)
H24,35/86 (40.70%),52/86 (60.47%),34/86 (39.53%),49/86 (56.98%),31/86 (36.05%),46/86 (53.49%),30/86 (34.88%),43/86 (50.00%),29/86 (33.72%),43/86 (50.00%)
H26,36/86 (41.86%),54/86 (62.79%),35/86 (40.70%),51/86 (59.30%),32/86 (37.21%),48/86 (55.81%),31/86 (36.05%),46/86 (53.49%),30/86 (34.88%),46/86 (53.49%)
H28,34/86 (39.53%),53/86 (61.63%),33/86 (38.37%),51/86 (59.30%),31/86 (36.05%),48/86 (55.81%),30/86 (34.88%),44/86 (51.16%),29/86 (33.72%),44/86 (51.16%)
H30,35/86 (40.70%),54/86 (62.79%),34/86 (39.53%),52/86 (60.47%),32/86 (37.21%),46/86 (53.49%),31/86 (36.05%),44/86 (51.16%),30/86 (34.88%),44/86 (51.16%)
H32,31/86 (36.05%),50/86 (58.14%),30/86 (34.88%),49/86 (56.98%),28/86 (32.56%),45/86 (52.33%),27/86 (31.40%),42/86 (48.84%),26/86 (30.23%),42/86 (48.84%)
