,Qwen,Qwen,InternVL,InternVL,LLaVA,LLaVA
,AppFr,AppOd,AppFr,AppOd,AppFr,AppOd
History,,,,,,
H02,8/86 (9.30%),12/86 (13.95%),11/86 (12.79%),11/86 (12.79%),16/86 (18.60%),14/86 (16.28%)
H04,5/86 (5.81%),14/86 (16.28%),12/86 (13.95%),12/86 (13.95%),11/86 (12.79%),9/86 (10.47%)
H06,11/86 (12.79%),12/86 (13.95%),15/86 (17.44%),14/86 (16.28%),12/86 (13.95%),8/86 (9.30%)
H08,8/86 (9.30%),13/86 (15.12%),14/86 (16.28%),15/86 (17.44%),13/86 (15.12%),8/86 (9.30%)
H10,9/86 (10.47%),11/86 (12.79%),16/86 (18.60%),12/86 (13.95%),12/86 (13.95%),9/86 (10.47%)
H12,9/86 (10.47%),9/86 (10.47%),16/86 (18.60%),15/86 (17.44%),12/86 (13.95%),7/86 (8.14%)
H14,8/86 (9.30%),10/86 (11.63%),14/86 (16.28%),12/86 (13.95%),11/86 (12.79%),10/86 (11.63%)
H16,10/86 (11.63%),14/86 (16.28%),13/86 (15.12%),11/86 (12.79%),9/86 (10.47%),10/86 (11.63%)
H18,8/86 (9.30%),11/86 (12.79%),15/86 (17.44%),15/86 (17.44%),9/86 (10.47%),9/86 (10.47%)
H20,9/86 (10.47%),10/86 (11.63%),15/86 (17.44%),15/86 (17.44%),9/86 (10.47%),9/86 (10.47%)
H22,8/86 (9.30%),11/86 (12.79%),15/86 (17.44%),15/86 (17.44%),9/86 (10.47%),10/86 (11.63%)
H24,9/86 (10.47%),8/86 (9.30%),16/86 (18.60%),15/86 (17.44%),9/86 (10.47%),11/86 (12.79%)
H26,7/86 (8.14%),10/86 (11.63%),17/86 (19.77%),15/86 (17.44%),9/86 (10.47%),11/86 (12.79%)
H28,6/86 (6.98%),9/86 (10.47%),17/86 (19.77%),15/86 (17.44%),8/86 (9.30%),9/86 (10.47%)
H30,7/86 (8.14%),11/86 (12.79%),15/86 (17.44%),16/86 (18.60%),8/86 (9.30%),9/86 (10.47%)
H32,6/86 (6.98%),10/86 (11.63%),16/86 (18.60%),16/86 (18.60%),8/86 (9.30%),8/86 (9.30%)
