case_study,bag_name,global_bag_id,unsafe_events
crowdbot,defaced_2021-04-24-11-20-18,crowdbot__defaced_2021-04-24-11-20-18,7
crowdbot,defaced_2021-04-24-11-23-43,crowdbot__defaced_2021-04-24-11-23-43,0
crowdbot,defaced_2021-04-24-11-35-54,crowdbot__defaced_2021-04-24-11-35-54,1
crowdbot,defaced_2021-04-24-11-40-33,crowdbot__defaced_2021-04-24-11-40-33,3
crowdbot,defaced_2021-04-24-11-43-54,crowdbot__defaced_2021-04-24-11-43-54,2
crowdbot,defaced_2021-04-24-11-48-21,crowdbot__defaced_2021-04-24-11-48-21,3
crowdbot,defaced_2021-04-24-11-55-30,crowdbot__defaced_2021-04-24-11-55-30,3
huron,bww1_Feb-16-2023-bww1-intloss_00000000,huron__bww1_Feb-16-2023-bww1-intloss_00000000,1
huron,bww1_Feb-16-2023-bww1-intloss_00000001,huron__bww1_Feb-16-2023-bww1-intloss_00000001,2
huron,bww1_Feb-16-2023-bww1-intloss_00000002,huron__bww1_Feb-16-2023-bww1-intloss_00000002,0
huron,bww2_Feb-20-2023-bww2-intloss_00000000,huron__bww2_Feb-20-2023-bww2-intloss_00000000,1
huron,bww2_Feb-20-2023-bww2-intloss_00000001,huron__bww2_Feb-20-2023-bww2-intloss_00000001,2
huron,bww2_Feb-20-2023-bww2-intloss_00000002,huron__bww2_Feb-20-2023-bww2-intloss_00000002,2
huron,bww8_Feb-03-2023-bww8-intloss_00000000,huron__bww8_Feb-03-2023-bww8-intloss_00000000,6
huron,bww8_Feb-03-2023-bww8-intloss_00000001,huron__bww8_Feb-03-2023-bww8-intloss_00000001,5
huron,bww8_Feb-03-2023-bww8-intloss_00000002,huron__bww8_Feb-03-2023-bww8-intloss_00000002,3
huron,cory1_Feb-16-2023-cory1-intloss_00000000,huron__cory1_Feb-16-2023-cory1-intloss_00000000,2
huron,cory1_Feb-16-2023-cory1-intloss_00000001,huron__cory1_Feb-16-2023-cory1-intloss_00000001,5
huron,cory1_Feb-16-2023-cory1-intloss_00000002,huron__cory1_Feb-16-2023-cory1-intloss_00000002,4
huron,soda3_Feb-21-2023-soda3-intloss_00000000,huron__soda3_Feb-21-2023-soda3-intloss_00000000,3
huron,soda3_Feb-21-2023-soda3-intloss_00000001,huron__soda3_Feb-21-2023-soda3-intloss_00000001,12
huron,soda3_Feb-21-2023-soda3-intloss_00000002,huron__soda3_Feb-21-2023-soda3-intloss_00000002,1
pal,rosbag2_2025_07_11-13_23_07,pal__rosbag2_2025_07_11-13_23_07,0
pal,rosbag2_2025_07_11-13_37_37,pal__rosbag2_2025_07_11-13_37_37,0
pal,rosbag2_2025_07_11-13_55_25,pal__rosbag2_2025_07_11-13_55_25,18
